 PATAMAR DE DEFICIT
 NUMERO DE PATAMARES DE DEFICIT
 XXX
   1
 CUSTO DO DEFICIT
 NUM|NOME SSIS.|    CUSTO DE DEFICIT POR PATAMAR  | P.U. CORTE POR PATAMAR|
 XXX|XXXXXXXXXX| F|XXXX.XX XXXX.XX XXXX.XX XXXX.XX|X.XXX X.XXX X.XXX X.XXX|
 1   SUDESTE     0 8327.76 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 2   SUL         0 8327.76 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 3   NORDESTE    0 8327.76 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 4   NORTE       0 8327.76 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 11  NOFICT1     1
 999
 LIMITES DE INTERCAMBIO
 A   B   A->B    B->A
 XXX XXX XJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
2027     9155.   9152.   9149.   9121.   9130.   9108.   9114.   9114.   9121.   9253.   9283.   9276.
2028     9282.   9281.   9276.   9260.   9237.   9240.   9247.   9227.   9250.   9436.   9483.   9482.
2029     9474.   9478.   9478.  12242.  12245.  12233.  12228.  12212.  12258.  12239.  12311.  12309.
   1   4               0
2025                                             4200.   4200.   4200.   4200.   4200.   4200.   4200.
2026     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
2027     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
2028     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
2029     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
  
2025                                             5194.   3618.   5000.   5000.   5000.   6000.   7000.
2026     8000.   8000.   8000.   8000.   8000.   8000.   6000.   5000.   5000.   5000.   6000.   7000.
2027     8000.   8000.   8000.   8000.   8000.   8000.   6000.   5000.   5000.   5000.   6000.   7000.
2028     8000.   8000.   8000.   8000.   8000.   8000.   6000.   5000.   5000.   5000.   6000.   7000.
2029     8000.   8000.   8000.   8000.   8000.   8000.   6000.   5000.   5000.   5000.   6000.   7000.
 999
 MERCADO DE ENERGIA TOTAL
 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1
2025                                            39815.  39041.  41214.  43049.  43708.  43471.  43389.
2026    47132.  47018.  47929.  45469.  43600.  42451.  41987.  42468.  44351.  45028.  44780.  44699.
2027    48783.  48673.  49608.  47068.  45131.  43943.  43466.  43976.  45915.  46612.  46351.  46271.
2028    50506.  50400.  51359.  48737.  46728.  45498.  45009.  45549.  47546.  48264.  47991.  47911.
2029    52222.  52120.  53104.  50400.  48319.  47049.  46547.  47118.  49171.  49911.  49624.  49546.
POS     52222.  52120.  53104.  50400.  48319.  47049.  46547.  47118.  49171.  49911.  49624.  49546.
   2
2025                                            12224.  12529.  12433.  12356.  12595.  13105.  13452.
2026    14499.  14526.  14068.  13219.  12741.  12879.  12832.  12731.  12652.  12896.  13416.  13768.
2027    15073.  15102.  14625.  13742.  13240.  13380.  13333.  13235.  13151.  13408.  13952.  14317.
2028    15673.  15703.  15207.  14288.  13761.  13902.  13856.  13761.  13672.  13942.  14511.  14890.
2029    16304.  16336.  15819.  14863.  14309.  14452.  14406.  14316.  14220.  14504.  15099.  15493.
POS     16304.  16336.  15819.  14863.  14309.  14452.  14406.  14316.  14220.  14504.  15099.  15493.
   3
2025                                            11837.  11838.  12132.  12529.  13128.  13143.  12938.
2026    13149.  13265.  13030.  12919.  12736.  12289.  12293.  12543.  12958.  13580.  13595.  13381.
2027    13673.  13794.  13551.  13433.  13241.  12776.  12782.  13045.  13478.  14122.  14138.  13914.
2028    14278.  14405.  14152.  14026.  13823.  13338.  13346.  13625.  14078.  14749.  14764.  14529.
2029    14820.  14952.  14690.  14557.  14345.  13841.  13851.  14144.  14616.  15310.  15325.  15080.
POS     14820.  14952.  14690.  14557.  14345.  13841.  13851.  14144.  14616.  15310.  15325.  15080.
   4
2025                                             7709.   7720.   8089.   8216.   8202.   8025.   7774.
2026     7586.   7889.   7987.   8126.   8169.   8107.   8044.   8337.   8508.   8442.   8276.   8009.
2027     7822.   8134.   8238.   8381.   8428.   8362.   8299.   8604.   8780.   8712.   8538.   8261.
2028     8084.   8375.   8516.   8665.   8714.   8646.   8582.   8901.   9082.   9011.   8829.   8541.
2029     8329.   8659.   8776.   8930.   8982.   8912.   8846.   9178.   9365.   9291.   9101.   8803.
POS      8329.   8659.   8776.   8930.   8982.   8912.   8846.   9178.   9365.   9291.   9101.   8803.
 999
 GERACAO DE USINAS NAO SIMULADAS
 XXX  XBL  XXXXXXXXXXXXXXXXXXXX  XTE
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1    1  PCH
2025                                             1772.   1523.   1366.   1272.   1569.   1968.   2397.
2026     2742.   2948.   2915.   2635.   2091.   1788.   1536.   1378.   1282.   1576.   1979.   2399.
