 POST        USINA       JAN       FEV       MAR       ABR       MAI       JUN       JUL       AGO       SET       OUT       NOV       DEZ
 XXXX XXXXXXXXXXXX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX
MESPLAN =    3     ANOPLAN = 2025
   65                  44.00     55.00     68.00    103.00    221.00     96.00    149.00     37.00     22.00     77.00     45.00    247.00
   66               13547.00  13209.00   8375.00  11179.00   5542.00   4834.00   4581.00   3748.00   3375.00   3752.00   9207.00  12859.00
   70                  10.00     10.00     10.00     10.00     10.00     10.00     12.00     10.00     10.00     10.00     10.00    200.00
   71                  99.00    126.00     96.00     79.00     89.00     64.00    120.00     55.00     56.00     76.00     91.00    302.00
   72                 104.00    131.00    102.00     86.00    104.00     71.00    133.00     61.00     61.00     83.00     98.00    316.00
   73                 122.00    153.00    125.00    113.00    168.00     98.00    185.00     81.00     78.00    112.00    125.00    373.00
   74                 453.00    594.00    679.00    576.00    997.00    736.00   1260.00    424.00    479.00    642.00    785.00   1655.00
   75                 665.00    844.00    918.00    809.00   1469.00    976.00   1696.00    612.00    633.00    890.00   1041.00   2117.00
   76                 553.00    701.00    803.00    706.00   1311.00    888.00   1522.00    541.00    565.00    788.00    926.00   1943.00
   77                 728.00    915.00   1008.00    930.00   1717.00   1104.00   1869.00    673.00    665.00    984.00   1102.00   2589.00
   78                 754.00    938.00   1041.00    969.00   1803.00   1159.00   1928.00    703.00    672.00   1016.00   1121.00   2694.00
   80                  28.00     35.00     43.00     66.00    142.00     62.00     96.00     24.00     14.00     49.00     29.00    158.00
   81                 929.00   1151.00   1305.00   1370.00   2662.00   1535.00   2509.00    851.00    755.00   1314.00   1295.00   3655.00
   83                  30.00     38.00     46.00     71.00    152.00     66.00    103.00     25.00     15.00     53.00     31.00    169.00
   85                  56.00     85.00    104.00    102.00    724.00    359.00    358.00    101.00    124.00    262.00     70.00     74.00
   88                 102.00    220.00    349.00    227.00    661.00    394.00    723.00    121.00    172.00    321.00    148.00    310.00
   89                 110.00    243.00    437.00    295.00    873.00    526.00    902.00    156.00    202.00    416.00    159.00    346.00
   92                 355.00    589.00   1181.00   1012.00   4154.00   2191.00   2654.00    699.00    757.00   1634.00    572.00   1044.00
   93                  16.00      6.00     60.00     98.00    293.00    138.00    112.00     61.00     44.00     92.00     50.00     66.00
   94                 460.00    671.00   1574.00   1333.00   5437.00   2905.00   3428.00   1000.00    965.00   2105.00    784.00   1383.00
   97                 167.00    111.00    130.00    229.00   2530.00   1146.00    342.00    187.00    199.00    401.00    117.00    177.00
   98                 110.00     77.00     58.00    113.00   1706.00    777.00    198.00    106.00    119.00    209.00     78.00    115.00
   99                  71.00     74.00     64.00     82.00     51.00     45.00     45.00     43.00     42.00     48.00     55.00     63.00
  100                   5.00      6.00      6.00      5.00      4.00      4.00      4.00      3.00      4.00      5.00      5.00      5.00
  101                  64.00    132.00    168.00    115.00    350.00    206.00    369.00     71.00     77.00    135.00     79.00    166.00
  102                  87.00     56.00    253.00    487.00   1260.00    596.00    283.00    214.00    237.00    323.00    135.00    269.00
  103                  91.00     58.00    263.00    502.00   1306.00    618.00    297.00    223.00    244.00    337.00    141.00    279.00
  104                  51.00     74.00     50.00     37.00     30.00     28.00     30.00     30.00     27.00     39.00     43.00     63.00
  109                  23.00     37.00     24.00     17.00     12.00     12.00     12.00     13.00     10.00     20.00     20.00     35.00
  110                  19.00     12.00     48.00     70.00    166.00    115.00     54.00     35.00     37.00     48.00     10.00     32.00
  111                  57.00     46.00    247.00    426.00   1477.00    730.00    353.00    192.00    191.00    223.00    104.00    117.00
  112                  58.00     46.00    248.00    435.00   1500.00    737.00    355.00    193.00    193.00    225.00    105.00    118.00
  113                  68.00     60.00    286.00    654.00   2016.00    899.00    393.00    223.00    249.00    271.00    122.00    146.00
  114                  80.00     74.00    328.00    899.00   2590.00   1081.00    432.00    255.00    311.00    321.00    141.00    177.00
  115                  22.00     28.00     21.00     28.00     16.00     15.00     23.00     16.00     14.00     17.00     21.00     29.00
  116                   5.00      9.00      6.00      4.00      3.00      3.00      2.00      3.00      2.00      4.00      4.00      8.00
  117                  28.00     37.00     26.00     20.00     18.00     16.00     18.00     17.00     17.00     19.00     23.00     28.00
  118                  23.00     37.00     24.00     17.00     12.00     12.00     12.00     13.00     10.00     20.00     20.00     35.00
  119                  28.00     46.00     30.00     21.00     15.00     15.00     14.00     16.00     12.00     24.00     24.00     43.00
  120                  21.00     27.00     27.00     19.00     11.00      5.00     12.00     12.00      8.00     12.00     17.00     27.00
  121                  97.00     91.00    127.00     66.00     44.00     33.00     32.00     34.00     27.00     52.00     53.00     90.00
  122                 111.00    105.00    145.00     77.00     50.00     38.00     37.00     39.00     31.00     59.00     61.00    102.00
  123                 303.00    310.00    364.00    252.00    146.00    118.00    111.00    103.00     71.00    136.00    178.00    263.00
  125                 409.00    388.00    480.00    324.00    181.00    161.00    143.00    131.00     91.00    164.00    276.00    319.00
  126                 340.00    340.00    340.00    282.00     99.00     71.00     47.00     44.00     18.00     69.00    245.00    294.00
  127                 578.00    440.00    653.00    372.00    189.00    161.00    137.00    134.00    108.00    159.00    335.00    384.00
  129                 752.00    608.00    844.00    547.00    313.00    270.00    235.00    224.00    169.00    271.00    510.00    555.00
  130                 845.00    667.00    939.00    609.00    349.00    298.00    257.00    247.00    188.00    295.00    565.00    613.00
  131                 144.00    144.00    144.00    144.00    117.00    103.00     92.00     85.00     59.00    106.00    144.00    144.00
  132                  15.00      7.00     31.00     15.00     10.00      9.00      9.00      8.00      3.00      9.00     15.00     12.00
  134                 377.00    130.00    188.00     80.00     48.00     39.00     31.00     25.00     18.00     69.00    120.00    224.00
  135                 261.00    113.00    145.00     86.00     53.00     47.00     41.00     34.00     35.00     65.00    115.00    165.00
  141                1166.00    490.00    643.00    372.00    234.00    206.00    178.00    139.00    111.00    257.00    483.00    693.00
  144                1656.00    664.00    922.00    560.00    346.00    312.00    268.00    205.00    166.00    326.00    696.00    924.00
  145                 144.00    188.00    108.00     96.00     73.00     60.00     53.00     42.00     47.00     63.00     90.00    103.00
  148                1347.00    557.00    744.00    442.00    274.00    244.00    210.00    163.00    131.00    276.00    563.00    766.00
  149                 271.00    160.00    158.00     97.00     65.00     55.00     48.00     40.00     36.00     88.00    125.00    193.00
  154                 113.00    116.00    114.00    148.00    107.00     94.00     86.00     83.00     80.00     90.00    112.00    106.00
  155                 234.00    148.00    125.00     86.00     44.00     36.00     32.00     27.00     21.00     42.00     93.00    131.00
  156                1474.00    774.00    580.00    514.00    183.00    142.00     98.00     51.00     39.00    142.00    577.00    855.00
  158                  71.00     63.00     58.00     59.00     30.00     25.00     21.00     18.00     13.00     14.00     35.00     35.00
  160                  11.00      8.00     14.00      7.00      6.00      5.00      5.00      5.00      3.00      4.00      5.00      8.00
  161                 180.00    254.00    160.00     69.00     59.00     45.00     61.00     63.00     38.00     85.00    117.00    178.00
  164                 129.00    180.00    110.00     32.00     29.00     17.00     31.00     33.00     11.00     46.00     74.00    115.00
