EMPRESA          COD USINA           UNTDDMMAAAA DUR.    POT.
XXAAAAAAAAAAA    XXXAAAAAAAAAAAAA    XXAXXXXXXXX XXX   XXXX.XX
92TERNIUM         65DO ATLAN_CSA      1 11122025   4    161.41
30KARKEY KARA    245KARKEY 013        5 02112025   1     20.65
30KARKEY KARA    245KARKEY 013        6 10112025   1     20.65
20DIFERENCIAL    249PORSUD I          5 21112025   1     19.32
20DIFERENCIAL    249PORSUD I          6 05112025   1     19.32
68PETROBRAS       62SEROPEDICA        4 03112025   6     45.00
68PETROBRAS       62SEROPEDICA        6 01112025   1     45.00
68PETROBRAS       62SEROPEDICA        7 10112025   6     45.00
68PETROBRAS       90TERMOMACAE        9 01112025  25     46.01
68PETROBRAS       90TERMOMACAE       10 26112025  36     43.86
68PETROBRAS       90TERMOMACAE       17 01112025  33     45.91
68PETROBRAS       47TERMORIO          5 01112025  53    104.70
68PETROBRAS       47TERMORIO          8 01112025  53    104.70
68PETROBRAS       47TERMORIO          9 01112025  53    108.00
68PETROBRAS       68TRES LAGOAS       1 03112025  30     58.39
30B.BONITA OL    254B. BONITA I       1 01112025   9      1.47
30B.BONITA OL    254B. BONITA I       2 01112025   9      1.47
30B.BONITA OL    254B. BONITA I       3 01112025   9      1.47
30B.BONITA OL    254B. BONITA I       4 01112025   9      1.47
30B.BONITA OL    254B. BONITA I       5 01112025   9      1.47
30B.BONITA OL    254B. BONITA I       6 01112025   9      1.47
30B.BONITA OL    254B. BONITA I       7 01112025   9      1.47
68PETROBRAS       64CANOAS            1 10112025  23    167.57
68PETROBRAS       64CANOAS            2 10112025  23     81.00
24ENGIE BRASI     26J.LACERDA A1      1 01112025  44     40.00
27IMETAME        241PROSPERID II      3 11112025   3      9.36
21SUAPE II       170SUAPE II          2 06122025   2     22.43
21SUAPE II       170SUAPE II          7 01112025   6     22.43
21SUAPE II       170SUAPE II         10 13122025   2     22.43
21SUAPE II       170SUAPE II         17 08122025   2     22.43
68PETROBRAS       58TERMOCEARA        1 20112025   1     55.75
68PETROBRAS       58TERMOCEARA        2 01112025  11     57.11
68PETROBRAS       58TERMOCEARA        2 01122025   6     57.11
68PETROBRAS       58TERMOCEARA        3 27112025   1     56.24
68PETROBRAS       58TERMOCEARA        4 27112025   1     53.89
34J&F            201APARECIDA         1 19112025   1     40.00
34J&F            201APARECIDA         4 03122025   1     43.00
34J&F            140MAUA 3            1 01112025   3    189.55
34J&F            140MAUA 3            3 01112025   3    211.65
