 NUM  NOME         POSTO JUS   REE V.INIC U.EXIS MODIF INIC.HIST FIM HIST
 XXXX XXXXXXXXXXXX XXXX  XXXX XXXX XXX.XX XXXX   XXXX     XXXX     XXXX
    4 FUNIL-GRANDE  211     6   10   0.00   EX      1     1931     2023
   20 BATALHA        22    21   10  95.47   EX      1     1931     2023
   21 SERRA FACAO   251    24   10  71.45   EX      0     1931     2023
   27 CAPIM BRANC1  207    28   10  61.50   EX      1     1931     2023
   28 CAPIM BRANC2   28    31   10   0.00   EX      1     1931     2023
   29 CORUMBA IV    205   203   10  83.23   EX      1     1931     2023
   66 ITAIPU         66     0    5   0.00   EX      0     1931     2023
  131 NILO PECANHA  131   133    1   0.00   EX      0     1931     2023
  132 FONTES        303   133    1   0.00   EX      0     1931     2023
  141 BAGUARI       141   143    1   0.00   EX      0     1931     2023
  153 SAO DOMINGOS  154    46   10   0.00   EX      0     1931     2023
  155 RETIRO BAIXO  155   156    1  87.83   EX      1     1931     2023
  156 TRES MARIAS   156     0    1  84.99   EX      1     1931     2023
  162 QUEIMADO      158     0    1  98.43   EX      1     1931     2023
  195 JAURU         295     0    1   0.00   EX      0     1931     2023
  196 GUAPORE       296   285    6   0.00   EX      0     1931     2023
  203 CORUMBA III    23    30   10  83.95   EX      0     1931     2023
  227 SINOP         227   228    7  95.17   EX      1     1931     2023
  228 COLIDER       228   229    7   0.00   EX      0     1931     2023
  229 TELES PIRES   229   230    7   0.00   EX      1     1931     2023
  230 SAO MANOEL    230     0    7   0.00   EX      0     1931     2023
  241 SLT VERDINHO  241    34   10   0.00   EX      0     1931     2023
  249 OURINHOS      249    50   12   0.00   EX      0     1931     2023
  251 SERRA MESA    270   252    1  72.48   EX      1     1931     2023
  252 CANA BRAVA    191   253    1   0.00   EX      1     1931     2023
  253 SAO SALVADOR  253   257    1   0.00   EX      1     1931     2023
  257 PEIXE ANGIC   257   261    1  82.50   EX      1     1931     2023
  260 ESTRELA       260   262   10   0.00   NE      0     1931     2023
  261 LAJEADO       273     0    1   0.00   EX      1     1931     2023
  262 SALTO         294   241   10   0.00   EX      0     1931     2023
  276 RONDON II     145     0    6 100.00   EX      0     1931     2023
  281 PONTE PEDRA   281     0    1   0.00   EX      0     1931     2023
  285 JIRAU         285   287    6   0.00   EX      1     1931     2023
  287 STO ANTONIO   287     0    6   0.00   EX      1     1931     2023
  290 ESPORA         99    34   10 100.00   EX      0     1931     2023
  304 ITIQUIRA I    259   305    1   0.00   EX      0     1931     2023
  305 ITIQUIRA II   252     0    1   0.00   EX      0     1931     2023
  309 JURUENA       226     0    7   0.00   EE      1     1931     2023
  310 DARDANELOS    291     0    6   0.00   EX      0     1931     2023
  311 CACU          247   312   10   0.00   EX      1     1931     2023
  312 B. COQUEIROS  248   315   10   0.00   EX      0     1931     2023
  315 FOZ R. CLARO  261    34   10   0.00   EX      0     1931     2023
  319 FICT.MAUA      57    61   12  50.66   EX      1     1931     2023
  117 GUARAPIRANGA  117   118    1  88.74   EX      1     1931     2023
  118 BILLINGS      319   119    1  74.03   EX      1     1931     2023
  119 HENRY BORDEN  318     0    1   0.00   EX      1     1931     2023
  120 JAGUARI       120   123    1  79.09   EX      1     1931     2023
  121 PARAIBUNA     121   122    1  85.51   EX      1     1931     2023
  122 SANTA BRANCA  122   123    1  58.65   EX      1     1931     2023
  123 FUNIL         123   131    1  51.35   EX      1     1931     2023
  124 LAJES         132   132    1  88.25   EX      1     1931     2023
  126 PICADA        197   127    1   0.00   EX      0     1931     2023
  127 SOBRAGI       198   129    1   0.00   EX      0     1931     2023
  129 SIMPLICIO     126   130    1   0.00   EX      0     1931     2023
  130 ILHA POMBOS   299     0    1   0.00   EX      0     1931     2023
  133 P. PASSOS     306     0    1   0.00   EX      1     1931     2023
  185 BARRA BRAUNA  135     0    1   0.00   EX      0     1931     2023
  134 SALTO GRANDE  134   135    1   0.00   EX      0     1931     2023
  135 P. ESTRELA    263   141    1   0.00   EX      1     1931     2023
  139 CANDONGA      149   141    1   0.00   EX      0     1931     2023
  143 AIMORES       148   144    1   0.00   EX      0     1931     2023
  144 MASCARENHAS   144     0    1   0.00   EX      0     1931     2023
  145 SUICA         213     0    1   0.00   EX      0     1931     2023
  192 GUILMAN-AMOR  262   193    1   0.00   EX      0     1931     2023
  193 SA CARVALHO   183   141    1   0.00   EX      0     1931     2023
  217 ROSAL         196     0    1   0.00   EX      0     1931     2023
  225 SLT APIACAS   225     0    7   0.00   EX      0     1931     2023
  279 SAMUEL        279     0    6  94.64   EX      0     1931     2023
  148 IRAPE         255     0    1  81.08   EX      1     1931     2023
  283 STA CLARA MG  283     0    1   0.00   EX      0     1931     2023
    1 CAMARGOS        1     2   10  97.86   EX      1     1931     2023
    2 ITUTINGA        2     4   10   0.00   EX      1     1931     2023
    6 FURNAS          6     7   10  69.25   EX      1     1931     2023
    7 M. DE MORAES    7     8   10  73.37   EX      1     1931     2023
    8 ESTREITO        8     9   10   0.00   EX      1     1931     2023
    9 JAGUARA         9    10   10   0.00   EX      1     1931     2023
   10 IGARAPAVA      10    11   10   0.00   EX      1     1931     2023
   11 VOLTA GRANDE   11    12   10   0.00   EX      1     1931     2023
   12 P. COLOMBIA    12    17   10   0.00   EX      1     1931     2023
   14 CACONDE        14    15   10  93.38   EX      1     1931     2023
   15 E. DA CUNHA    15    16   10   0.00   EX      0     1931     2023
   16 A.S.OLIVEIRA   16    17   10   0.00   EX      1     1931     2023
   17 MARIMBONDO     17    18   10  59.51   EX      1     1931     2023
   18 A. VERMELHA    18    34   10  55.16   EX      1     1931     2023
   34 I. SOLTEIRA    34    45   10  67.65   EX      1     1931     2023
   24 EMBORCACAO     24    31   10  57.73   EX      1     1931     2023
   25 NOVA PONTE     25    26   10  55.52   EX      1     1931     2023
   26 MIRANDA       206    27   10  68.06   EX      1     1931     2023
   30 CORUMBA I     209    31   10  88.66   EX      1     1931     2023
   31 ITUMBIARA      31    32   10  83.22   EX      1     1931     2023
   32 CACH.DOURADA   32    33   10   0.00   EX      1     1931     2023
   33 SAO SIMAO      33    34   10  96.05   EX      1     1931     2023
   37 BARRA BONITA   37    38   10  86.14   EX      1     1931     2023
   38 A.S. LIMA      38    39   10   0.00   EX      0     1931     2023
   39 IBITINGA       39    40   10   0.00   EX      0     1931     2023
   40 PROMISSAO      40    42   10  82.27   EX      1     1931     2023
   42 NAVANHANDAVA   42    43   10   0.00   EX      0     1931     2023
   43 TRES IRMAOS    43    45   10  65.26   EX      1     1931     2023
   45 JUPIA          45    46   10   0.00   EX      1     1931     2023
   46 P. PRIMAVERA   46    66   10   0.00   EX      1     1931     2023
  278 MANSO         278     0    1  96.40   EX      1     1931     2023
   47 A.A. LAYDNER   47    48   12  59.23   EX      1     1931     2023
   48 PIRAJU         48    53   12   0.00   EX      1     1931     2023
   53 PARANAPANEMA   53    49   12   0.00   EX      0     1931     2023
   49 CHAVANTES      49   249   12  70.03   EX      1     1931     2023
   50 L.N. GARCEZ    50    51   12   0.00   EX      1     1931     2023
   51 CANOAS II      51    52   12   0.00   EX      1     1931     2023
   52 CANOAS I       52    61   12   0.00   EX      1     1931     2023
   61 CAPIVARA       61    62   12  75.57   EX      1     1931     2023
   62 TAQUARUCU      62    63   12   0.00   EX      1     1931     2023
   63 ROSANA         63    66   12   0.00   EX      1     1931     2023
   57 MAUA           57     0   11  50.66   EX      1     1931     2023
   71 STA CLARA PR   71    72   11  81.90   EX      0     1931     2023
   72 FUNDAO         72    73   11   0.00   EX      0     1931     2023
   74 G.B. MUNHOZ    74    76   11  48.16   EX      0     1931     2023
   83 BAIXO IGUACU   81     0   11   0.00   EX      1     1931     2023
   86 BARRA GRANDE  215    91    2  19.00   EX      0     1931     2023
   88 SAO ROQUE      88    89    2  47.95   EX      1     1931     2023
   89 GARIBALDI      89    90    2  56.29   EX      1     1931     2023
   90 CAMPOS NOVOS  216    91    2  74.00   EX      0     1931     2023
   91 MACHADINHO    217    92    2  31.23   EX      1     1931     2023
   92 ITA            92   103    2   0.00   EX      1     1931     2023
   93 PASSO FUNDO    93    94    2  46.85   EX      0     1931     2023
   94 MONJOLINHO    220   103    2   0.00   EX      0     1931     2023
   95 QUEBRA QUEIX  286     0    2  92.00   EX      1     1931     2023
  101 SAO JOSE      102   102    2   0.00   EX      0     1931     2023
  102 PASSO S JOAO  103     0    2   0.00   EX      0     1931     2023
  103 FOZ CHAPECO    94     0    2   0.00   EX      1     1931     2023
   97 CASTRO ALVES   98    98    2   0.00   EX      0     1931     2023
   98 MONTE CLARO    97    99    2   0.00   EX      0     1931     2023
   99 14 DE JULHO   284     0    2   0.00   EX      0     1931     2023
  110 ERNESTINA     110   111    2  46.09   EX      0     1931     2023
  111 PASSO REAL    111   112    2  33.53   EX      1     1931     2023
  112 JACUI         112   113    2   0.00   EX      0     1931     2023
  113 ITAUBA        113   114    2   0.00   EX      0     1931     2023
  114 D. FRANCISCA  114     0    2   0.00   EX      1     1931     2023
  115 G.P. SOUZA    115     0    2  50.57   EX      1     1931     2023
  215 SALTO PILAO   101     0    2   0.00   EX      0     1931     2023
   73 JORDAO         70    77   11 100.00   EX      1     1931     2023
   76 SEGREDO        75    77   11  37.70   EX      0     1931     2023
   77 SLT.SANTIAGO   77    78   11  57.06   EX      1     1931     2023
   78 SALTO OSORIO   78    82   11   0.00   EX      1     1931     2023
   82 SALTO CAXIAS  222    83   11   0.00   EX      1     1931     2023
  169 SOBRADINHO    169   172    3  72.13   EX      1     1931     2023
  172 ITAPARICA     172   176    3  80.66   EX      1     1931     2023
  176 COMP PAF-MOX  176   178    3   0.00   EX      1     1931     2023
  178 XINGO         178     0    3   0.00   EX      1     1931     2023
  294 FICT.QUEIMAD  158   169    3  98.43   EX      1     1931     2023
  295 FICT.TRES MA  156   169    3  84.99   EX      1     1931     2023
  308 FICT.RETIRO   155   295    3  87.83   EX      1     1931     2023
  154 ITAPEBI       188     0    3   0.00   EX      1     1931     2023
  298 FICT.IRAPE    255   154    3  81.08   EX      1     1931     2023
  189 P. CAVALO     254     0    3  75.79   EX      0     1931     2023
