 PCHAVE       PENALID1. PENALID2.   SIS
 XXXXXX       XXXXX.XX  XXXXX.XX    XXX
 DESVIO        8336.00                1
 DESVIO        8336.00                2
 DESVIO        8336.00                3
 DESVIO        8336.00                4
 DESVIO        8336.00                5
 DESVIO        8336.00                6
 DESVIO        8336.00                7
 DESVIO        8336.00                8
 DESVIO        8336.00                9
 DESVIO        8336.00               10
 DESVIO        8336.00               11
 DESVIO        8336.00               12
 VAZMIN        3264.99                1
 VAZMIN        3264.99                2
 VAZMIN        3264.99                3
 VAZMIN        3264.99                4
 VAZMIN        3264.99                5
 VAZMIN        3264.99                6
 VAZMIN        3264.99                7
 VAZMIN        3264.99                8
 VAZMIN        3264.99                9
 VAZMIN        3264.99               10
 VAZMIN        3264.99               11
 VAZMIN        3264.99               12
 GHMIN         3264.99                1
 GHMIN         3264.99                2
 GHMIN         3264.99                3
 GHMIN         3264.99                4
 GHMIN         3264.99                5
 GHMIN         3264.99                6
 GHMIN         3264.99                7
 GHMIN         3264.99                8
 GHMIN         3264.99                9
 GHMIN         3264.99               10
 GHMIN         3264.99               11
 GHMIN         3264.99               12
 TURBMN        3264.99                1
 TURBMN        3264.99                2
 TURBMN        3264.99                3
 TURBMN        3264.99                4
 TURBMN        3264.99                5
 TURBMN        3264.99                6
 TURBMN        3264.99                7
 TURBMN        3264.99                8
 TURBMN        3264.99                9
 TURBMN        3264.99               10
 TURBMN        3264.99               11
 TURBMN        3264.99               12
 TURBMX        3264.99                1
 TURBMX        3264.99                2
 TURBMX        3264.99                3
 TURBMX        3264.99                4
 TURBMX        3264.99                5
 TURBMX        3264.99                6
 TURBMX        3264.99                7
 TURBMX        3264.99                8
 TURBMX        3264.99                9
 TURBMX        3264.99               10
 TURBMX        3264.99               11
 TURBMX        3264.99               12
 ELETRI        3264.99                1
 ELETRI        3264.99                2
 ELETRI        3264.99                3
 ELETRI        3264.99                4
 ELETRI        3264.99                5
 ELETRI        3264.99                6
 ELETRI        3264.99                7
 ELETRI        3264.99                8
 ELETRI        3264.99                9
 ELETRI        3264.99               10
 ELETRI        3264.99               11
 ELETRI        3264.99               12
