NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
   1 POTEF   640.00  9 2025          ANGRA 1
   1 TEIFT     0.00  9 2025 10 2025  
   1 GTMIN 00639.99  9 2025 10 2025
   1 GTMIN   509.82 11 2025
  13 POTEF  1350.00  9 2025          ANGRA 2
  13 TEIFT     0.00  9 2025 10 2025  
  13 GTMIN 01349.99  9 2025 10 2025
  13 GTMIN 01080.00 11 2025 12 2025
  13 IPTER    54.84  1 2026  1 2026  
  13 GTMIN   594.35  1 2026  1 2026
  13 IPTER    96.43  2 2026  2 2026  
  13 GTMIN    46.98  2 2026  2 2026
  13 IPTER     0.00  3 2026 12 2026  
  13 GTMIN  1080.00  3 2026
 211 POTEF   530.00  9 2025          BAIXADA FLU
 211 TEIFT     0.00  9 2025 10 2025  
 211 IPTER     0.00  1 2026  7 2026  
 211 IPTER     4.53  8 2026  8 2026  
 211 IPTER    35.09  9 2026  9 2026  
 211 IPTER    19.25 10 2026 10 2026  
 211 IPTER     0.00 11 2026 12 2026  
 256 POTEF    80.00  1 2027          CIDADE LIVRO
  97 POTEF   249.90  9 2025          CUBATAO
  97 FCMAX    83.63  9 2025 10 2025  
  97 TEIFT     0.00  9 2025 10 2025  
  97 GTMIN    34.83  9 2025  9 2025
  97 FCMAX    86.43 11 2025          
  97 TEIFT     8.65 11 2025          
  97 IPTER     0.00  1 2026  2 2026  
  97 IPTER    16.09  3 2026  3 2026  
  97 IPTER     3.33  4 2026  4 2026  
  97 IPTER     0.00  5 2026  7 2026  
  97 IPTER    66.92  8 2026  8 2026  
  97 IPTER    31.69  9 2026  9 2026  
  97 IPTER     0.00 10 2026 12 2026  
  97 IPTER    11.35  1 2027          
  12 POTEF   529.20  9 2025          CUIABA G CC
  12 FCMAX    92.59  9 2025 10 2025  
  12 TEIFT     0.00  9 2025 10 2025  
 153 POTEF    44.44  9 2025          DAIA
 153 FCMAX     0.00  9 2025          
  65 POTEF   161.41  9 2025          DO ATLAN_CSA
  65 FCMAX    78.00  9 2025  9 2025  
  65 TEIFT     0.00  9 2025 10 2025  
  65 GTMIN   125.89  9 2025  9 2025
  65 FCMAX    69.59 10 2025 10 2025  
  65 GTMIN   112.32 10 2025 10 2025
  65 FCMAX   100.00 11 2025          
  65 GTMIN   157.43 11 2025 11 2025
  65 GTMIN   137.12 12 2025 12 2025
  65 IPTER     0.00  1 2026  6 2026  
  65 GTMIN 00157.43  1 2026  6 2026
  65 IPTER    77.42  7 2026  7 2026  
  65 GTMIN    35.54  7 2026  7 2026
  65 IPTER     0.00  8 2026 12 2026  
  65 GTMIN 00157.43  8 2026 12 2026
  65 GTMIN   145.42  1 2027
 183 POTEF   235.20  9 2025          DO_ATLANTICO
 183 FCMAX    92.98  9 2025 10 2025  
 183 TEIFT     0.00  9 2025 10 2025  
 183 GTMIN 00218.68  9 2025 10 2025
 183 IPTER     7.63 11 2025 12 2025  
 183 GTMIN 00197.07 11 2025 12 2025
 183 FCMAX     0.00  1 2026          
 137 POTEF  1338.30  9 2025          GNA I
 137 FCMAX    99.98  9 2025 10 2025  
 137 TEIFT     0.00  9 2025 10 2025  
 238 POTEF  1672.60  9 2025          GNA II
 238 FCMAX    79.75  9 2025  9 2025  
 238 TEIFT     0.00  9 2025 10 2025  
 238 GTMIN  1333.88  9 2025  9 2025
 238 FCMAX    99.23 10 2025 10 2025  
 238 GTMIN  1659.66 10 2025 10 2025
 238 GTMIN  1278.58 11 2025 11 2025
 238 GTMIN 01598.16  7 2026 10 2026
 238 GTMIN  1278.58 11 2026 11 2026
 238 GTMIN 01598.16  7 2027 10 2027
 238 GTMIN  1278.58 11 2027 11 2027
 238 GTMIN 01598.16  7 2028 10 2028
 238 GTMIN  1278.58 11 2028 11 2028
 238 GTMIN 01598.16  7 2029 10 2029
 238 GTMIN  1278.58 11 2029 11 2029
  63 POTEF   235.00  9 2025          IBIRITE
  63 TEIFT     0.00  9 2025 10 2025  
  63 IPTER     0.00  1 2026  2 2026  
  63 IPTER    74.19  3 2026  3 2026  
  63 IPTER   100.00  4 2026  4 2026  
  63 IPTER    25.81  5 2026  5 2026  
  63 IPTER     0.00  6 2026 12 2026  
  54 POTEF    87.05  9 2025          JUIZ DE FORA
  54 FCMAX    96.50  9 2025 10 2025  
  54 TEIFT     0.00  9 2025 10 2025  
  54 GTMIN     3.50  9 2025  9 2025
  54 FCMAX    99.94 11 2025  6 2026  
  54 IPTER     0.00  1 2026  3 2026  
  54 IPTER    20.00  4 2026  4 2026  
  54 IPTER     0.00  5 2026  7 2026  
  54 FCMAX     3.23  7 2026  7 2026  
  54 FCMAX     0.00  8 2026          
 245 POTEF   258.64  9 2025  5 2026  KARKEY 013
 245 FCMAX    98.98  9 2025  5 2026  
 245 TEIFT     0.00  9 2025 10 2025  
 245 GTMIN 00031.00  9 2025 10 2025
 245 GTMIN 00029.00 11 2025  5 2026
 246 POTEF   115.92  9 2025  5 2026  KARKEY 019
 246 TEIFT     0.00  9 2025 10 2025  
  15 POTEF   204.00  9 2025  6 2026  LINHARES
  15 TEIFT     0.00  9 2025 12 2025  
  15 FCMAX     0.00  1 2026  6 2026  
 257 POTEF   204.00  7 2026          LINHARES LRC
 247 POTEF    36.00  9 2025  1 2026  LINHARES PCS
 247 TEIFT     0.00  9 2025 10 2025  
 247 FCMAX    32.25  1 2026  1 2026  
 236 POTEF   565.50  9 2025          MARLIM AZUL
 236 TEIFT     0.00  9 2025 10 2025  
 236 GTMIN 00420.84 11 2025  4 2026
 236 IPTER     0.00  1 2026  4 2026  
 236 IPTER    48.39  5 2026  5 2026  
