 PATAMAR DE DEFICIT
 NUMERO DE PATAMARES DE DEFICIT
 XXX
   1
 CUSTO DO DEFICIT
 NUM|NOME SSIS.|    CUSTO DE DEFICIT POR PATAMAR  | P.U. CORTE POR PATAMAR|
 XXX|XXXXXXXXXX| F|XXXX.XX XXXX.XX XXXX.XX XXXX.XX|X.XXX X.XXX X.XXX X.XXX|
 1   SUDESTE     0 8327.76 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 2   SUL         0 8327.76 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 3   NORDESTE    0 8327.76 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 4   NORTE       0 8327.76 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 11  NOFICT1     1
 999
 LIMITES DE INTERCAMBIO
 A   B   A->B    B->A
 XXX XXX XJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1   2               0
2029     6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.
  
2025             4981.   4952.   8875.   8873.   8875.   8985.   8998.   8993.   8992.   9024.   9019.
2026     9022.   9021.   9019.   9000.   9004.   8993.   8985.   8998.   8997.   8999.   9024.   9019.
2027     9024.   9021.   9019.   8997.   9004.   8987.   8991.   8991.   8997.   9253.   9283.   9276.
2028     9282.   9281.   9276.   9260.   9237.   9240.   9247.   9227.   9250.   9436.   9483.   9482.
2029     9474.   9478.   9478.   9431.   9433.   9425.   9421.   9409.   9444.  12744.  12787.  12786.
   1   4               0
2025             4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
2026     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
2027     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
2028     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
2029     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
  
2025             8000.   8000.   8000.   8000.   8000.   6000.   5000.   5000.   5000.   6000.   7000.
2026     8000.   8000.   8000.   8000.   8000.   8000.   6000.   5000.   5000.   5000.   6000.   7000.
2027     8000.   8000.   8000.   8000.   8000.   8000.   6000.   5000.   5000.   5000.   6000.   7000.
2028     8000.   8000.   8000.   8000.   8000.   8000.   6000.   5000.   5000.   5000.   6000.   7000.
2029     8000.   8000.   8000.   8000.   8000.   8000.   6000.   5000.   5000.   5000.   6000.   7000.
 999
 MERCADO DE ENERGIA TOTAL
 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1
2025            45678.  45440.  44425.  42603.  41489.  41046.  41542.  43347.  43998.  43748.  43675.
2026    47247.  47157.  48021.  45602.  43720.  42572.  42119.  42639.  44493.  45162.  44900.  44829.
2027    48796.  48710.  49596.  47103.  45156.  43971.  43506.  44055.  45960.  46648.  46374.  46304.
2028    50373.  50291.  51200.  48631.  46618.  45395.  44919.  45495.  47454.  48161.  47875.  47805.
2029    52014.  51936.  52869.  50221.  48141.  46879.  46390.  46995.  49008.  49735.  49437.  49368.
POS     52014.  51936.  52869.  50221.  48141.  46879.  46390.  46995.  49008.  49735.  49437.  49368.
   2
2025            14395.  13331.  12982.  12511.  12644.  12605.  12518.  12438.  12680.  13193.  13535.
2026    14725.  14754.  14271.  13412.  12919.  13053.  13015.  12931.  12845.  13100.  13635.  13989.
2027    15304.  15334.  14832.  13939.  13421.  13557.  13520.  13439.  13348.  13616.  14174.  14542.
2028    15905.  15937.  15416.  14486.  13943.  14081.  14044.  13967.  13870.  14151.  14735.  15117.
2029    16533.  16567.  16025.  15059.  14489.  14628.  14593.  14519.  14417.  14712.  15321.  15717.
POS     16533.  16567.  16025.  15059.  14489.  14628.  14593.  14519.  14417.  14712.  15321.  15717.
   3
2025            12749.  12615.  12655.  12470.  12034.  12043.  12295.  12703.  13303.  13311.  13101.
2026    13363.  13483.  13237.  13123.  12929.  12474.  12485.  12751.  13178.  13801.  13809.  13590.
2027    13885.  14009.  13755.  13635.  13432.  12959.  12971.  13251.  13696.  14342.  14349.  14120.
2028    14406.  14536.  14274.  14146.  13934.  13444.  13458.  13751.  14214.  14882.  14890.  14651.
2029    14945.  15080.  14809.  14674.  14453.  13944.  13960.  14268.  14749.  15440.  15448.  15200.
POS     14945.  15080.  14809.  14674.  14453.  13944.  13960.  14268.  14749.  15440.  15448.  15200.
   4
2025             7502.   7512.   7882.   7970.   7892.   7855.   8156.   8311.   8256.   8059.   7818.
2026     7674.   7982.   8068.   8215.   8260.   8203.   8139.   8437.   8609.   8539.   8372.   8100.
2027     7904.   8220.   8312.   8463.   8512.   8451.   8387.   8697.   8873.   8801.   8626.   8345.
2028     8158.   8484.   8582.   8738.   8789.   8727.   8661.   8984.   9167.   9091.   8908.   8616.
2029     8395.   8728.   8834.   8994.   9048.   8982.   8916.   9252.   9439.   9362.   9170.   8869.
POS      8395.   8728.   8834.   8994.   9048.   8982.   8916.   9252.   9439.   9362.   9170.   8869.
 999
 GERACAO DE USINAS NAO SIMULADAS
 XXX  XBL  XXXXXXXXXXXXXXXXXXXX  XTE
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1    1  PCH
2025             2918.   2897.   2609.   2177.   1848.   1590.   1427.   1338.   1576.   1912.   2380.
2026     2753.   2943.   2935.   2633.   2198.   1860.   1600.   1434.   1344.   1583.   1922.   2392.
2027     2790.   2982.   2960.   2659.   2227.   1889.   1626.   1459.   1366.   1608.   1953.   2431.
2028     2816.   3009.   2988.   2679.   2238.   1895.   1628.   1462.   1368.   1611.   1956.   2434.
2029     2816.   3009.   2997.   2688.   2245.   1901.   1634.   1466.   1371.   1617.   1962.   2441.
   1    2  PCT
2025              952.   1360.   2875.   4402.   4582.   4913.   4767.   4529.   4065.   3355.   1667.
2026      926.    975.   1391.   2930.   4454.   4635.   4969.   4823.   4575.   4108.   3391.   1686.
2027      938.    980.   1398.   2944.   4489.   4670.   4993.   4842.   4595.   4126.   3402.   1691.
2028      938.    980.   1400.   2953.   4487.   4671.   4994.   4841.   4598.   4124.   3403.   1691.
2029      937.    980.   1400.   2952.   4488.   4671.   4993.   4841.   4601.   4123.   3403.   1691.
   1    3  EOL
2025                7.      5.      3.      3.      4.      5.      8.     10.      9.      7.      9.
2026       10.      7.      6.      3.      3.      4.      5.      8.     10.      9.      7.      9.
