 P.CHAVE  MODIFICACOES E INDICES
 XXXXXXXX XXXXXXXXXXXXXXXXXXXXX
 USINA    1                                 CAMARGOS    
 VAZMIN       34
 VMAXT     2 2025  94.000 '%'
 VMAXT     3 2025 100.000 '%'
 VMAXT    11 2025  94.000 '%'
 VMAXT    12 2025  76.100 '%'
 VMAXT     1 2026  74.700 '%'
 VMAXT     2 2026  94.000 '%'
 VMAXT     3 2026 100.000 '%'
 VMAXT    11 2026  94.000 '%'
 VMAXT    12 2026  76.100 '%'
 VMAXT     1 2027  74.700 '%'
 VMAXT     2 2027  94.000 '%'
 VMAXT     3 2027 100.000 '%'
 VMAXT    11 2027  94.000 '%'
 VMAXT    12 2027  76.100 '%'
 VMAXT     1 2028  74.700 '%'
 VMAXT     2 2028  94.000 '%'
 VMAXT     3 2028 100.000 '%'
 VMAXT    11 2028  94.000 '%'
 VMAXT    12 2028  76.100 '%'
 VMAXT     1 2029  74.700 '%'
 VMAXT     2 2029  94.000 '%'
 VMAXT     3 2029 100.000 '%'
 VMAXT    11 2029  94.000 '%'
 VMAXT    12 2029  76.100 '%'
 USINA    2                                 ITUTINGA    
 VAZMIN       34
 USINA    4                                 FUNIL-GRANDE
 VAZMIN       70
 USINA    6                                 FURNAS      
 VAZMIN      131
 VMAXT     2 2025  90.000 '%'
 VMAXT     3 2025  97.000 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  96.900 '%'
 VMAXT    12 2025  94.400 '%'
 VMAXT     3 2026  97.000 '%'
 VMAXT     4 2026 100.000 '%'
 VMAXT    11 2026  96.900 '%'
 VMAXT    12 2026  94.400 '%'
 VMAXT     3 2027  97.000 '%'
 VMAXT     4 2027 100.000 '%'
 VMAXT    11 2027  96.900 '%'
 VMAXT    12 2027  94.400 '%'
 VMAXT     3 2028  97.000 '%'
 VMAXT     4 2028 100.000 '%'
 VMAXT    11 2028  96.900 '%'
 VMAXT    12 2028  94.400 '%'
 VMAXT     3 2029  97.000 '%'
 VMAXT     4 2029 100.000 '%'
 VMAXT    11 2029  96.900 '%'
 VMAXT    12 2029  94.400 '%'
 USINA    7                                 M. DE MORAES
 VAZMIN      149
 VMINT     2 2025  13.230 '%'
 VMAXT     2 2025  84.600 '%'
 VMAXT     3 2025  93.800 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  85.600 '%'
 VMAXT    12 2025  80.000 '%'
 VMAXT     2 2026  84.600 '%'
 VMAXT     3 2026  93.800 '%'
 VMAXT     4 2026 100.000 '%'
 VMAXT    11 2026  85.600 '%'
 VMAXT    12 2026  80.000 '%'
 VMAXT     2 2027  84.600 '%'
 VMAXT     3 2027  93.800 '%'
 VMAXT     4 2027 100.000 '%'
 VMAXT    11 2027  85.600 '%'
 VMAXT    12 2027  80.000 '%'
 VMAXT     2 2028  84.600 '%'
 VMAXT     3 2028  93.800 '%'
 VMAXT     4 2028 100.000 '%'
 VMAXT    11 2028  85.600 '%'
 VMAXT    12 2028  80.000 '%'
 VMAXT     2 2029  84.600 '%'
 VMAXT     3 2029  93.800 '%'
 VMAXT     4 2029 100.000 '%'
 VMAXT    11 2029  85.600 '%'
 VMAXT    12 2029  80.000 '%'
 USINA    8                                 ESTREITO    
 VAZMIN      153
 USINA    9                                 JAGUARA     
 VAZMIN      168
 USINA    10                                IGARAPAVA   
 VAZMIN      172
 USINA    11                                VOLTA GRANDE
 VAZMIN      178
 USINA    12                                P. COLOMBIA 
 VAZMIN      189
 USINA    14                                CACONDE     
 VAZMINT   2 2025   32.00
 VMAXT     2 2025  98.000 '%'
 VMAXT     3 2025 100.000 '%'
 VMAXT    11 2025  94.000 '%'
 VMAXT     1 2026  96.000 '%'
 VMAXT     2 2026  98.000 '%'
 VMAXT     3 2026 100.000 '%'
 VMAXT    11 2026  94.000 '%'
 VMAXT     1 2027  96.000 '%'
 VMAXT     2 2027  98.000 '%'
 VMAXT     3 2027 100.000 '%'
 VMAXT    11 2027  94.000 '%'
 VMAXT     1 2028  96.000 '%'
 VMAXT     2 2028  98.000 '%'
 VMAXT     3 2028 100.000 '%'
 VMAXT    11 2028  94.000 '%'
 VMAXT     1 2029  96.000 '%'
 VMAXT     2 2029  98.000 '%'
 VMAXT     3 2029 100.000 '%'
 VMAXT    11 2029  94.000 '%'
 USINA    16                                A.S.OLIVEIRA
 VAZMIN       19
 USINA    17                                MARIMBONDO  
 VAZMIN      312
 VMINT     2 2025  15.000 '%'
 VMINT     4 2025   0.000 '%'
 VMAXT     2 2025  82.700 '%'
 VMAXT     3 2025  86.300 '%'
 VMAXT     4 2025  90.900 '%'
 VMAXT    11 2025  79.300 '%'
 VMAXT    12 2025  74.800 '%'
 VMAXT     1 2026  77.700 '%'
 VMAXT     2 2026  81.700 '%'
 VMAXT     3 2026  86.300 '%'
 VMAXT     4 2026  90.900 '%'
 VMAXT    11 2026  79.300 '%'
 VMAXT    12 2026  74.800 '%'
 VMAXT     1 2027  77.700 '%'
 VMAXT     2 2027  81.700 '%'
 VMAXT     3 2027  86.300 '%'
 VMAXT     4 2027  90.900 '%'
 VMAXT    11 2027  79.300 '%'
 VMAXT    12 2027  74.800 '%'
 VMAXT     1 2028  77.700 '%'
 VMAXT     2 2028  81.700 '%'
 VMAXT     3 2028  86.300 '%'
 VMAXT     4 2028  90.900 '%'
 VMAXT    11 2028  79.300 '%'
 VMAXT    12 2028  74.800 '%'
 VMAXT     1 2029  77.700 '%'
 VMAXT     2 2029  81.700 '%'
 VMAXT     3 2029  86.300 '%'
