 PCHAVE       PENALID1. PENALID2.   SIS
 XXXXXX       XXXXX.XX  XXXXX.XX    XXX
 DESVIO        8336.00                1
 DESVIO        8336.00                2
 DESVIO        8336.00                3
 DESVIO        8336.00                4
 DESVIO        8336.00                5
 DESVIO        8336.00                6
 DESVIO        8336.00                7
 DESVIO        8336.00                8
 DESVIO        8336.00                9
 DESVIO        8336.00               10
 DESVIO        8336.00               11
 DESVIO        8336.00               12
 VAZMIN        3400.66                1
 VAZMIN        3400.66                2
 VAZMIN        3400.66                3
 VAZMIN        3400.66                4
 VAZMIN        3400.66                5
 VAZMIN        3400.66                6
 VAZMIN        3400.66                7
 VAZMIN        3400.66                8
 VAZMIN        3400.66                9
 VAZMIN        3400.66               10
 VAZMIN        3400.66               11
 VAZMIN        3400.66               12
 GHMIN         3400.66                1
 GHMIN         3400.66                2
 GHMIN         3400.66                3
 GHMIN         3400.66                4
 GHMIN         3400.66                5
 GHMIN         3400.66                6
 GHMIN         3400.66                7
 GHMIN         3400.66                8
 GHMIN         3400.66                9
 GHMIN         3400.66               10
 GHMIN         3400.66               11
 GHMIN         3400.66               12
 TURBMN        3400.66                1
 TURBMN        3400.66                2
 TURBMN        3400.66                3
 TURBMN        3400.66                4
 TURBMN        3400.66                5
 TURBMN        3400.66                6
 TURBMN        3400.66                7
 TURBMN        3400.66                8
 TURBMN        3400.66                9
 TURBMN        3400.66               10
 TURBMN        3400.66               11
 TURBMN        3400.66               12
 TURBMX        3400.66                1
 TURBMX        3400.66                2
 TURBMX        3400.66                3
 TURBMX        3400.66                4
 TURBMX        3400.66                5
 TURBMX        3400.66                6
 TURBMX        3400.66                7
 TURBMX        3400.66                8
 TURBMX        3400.66                9
 TURBMX        3400.66               10
 TURBMX        3400.66               11
 TURBMX        3400.66               12
 ELETRI        3400.66                1
 ELETRI        3400.66                2
 ELETRI        3400.66                3
 ELETRI        3400.66                4
 ELETRI        3400.66                5
 ELETRI        3400.66                6
 ELETRI        3400.66                7
 ELETRI        3400.66                8
 ELETRI        3400.66                9
 ELETRI        3400.66               10
 ELETRI        3400.66               11
 ELETRI        3400.66               12
