 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1  SUDESTE        CONS.ITAIPU
2025                                                               18.     18.     18.     18.     18.
2026       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2027       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2028       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2029       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
POS        18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
   1  SUDESTE               ANDE
2025                                                             2592.   2637.   2309.   2565.   2428.
2026     3144.   3494.   3296.   2600.   2055.   1656.   1773.   1699.   2012.   2424.   2693.   2549.
2027     3301.   3668.   3461.   2730.   2158.   1738.   1862.   1784.   2112.   2546.   2827.   2676.
2028     3466.   3719.   3634.   2866.   2266.   1825.   1955.   1873.   2218.   2673.   2969.   2810.
2029     3639.   4045.   3815.   3010.   2379.   1917.   2053.   1967.   2329.   2807.   3117.   2951.
POS      3639.   4045.   3815.   3010.   2379.   1917.   2053.   1967.   2329.   2807.   3117.   2951.
   1  SUDESTE            MMGD SE
2025                                                             3818.   3603.   3303.   3164.   3275.
2026     3242.   3478.   3295.   3342.   3117.   3065.   3153.   3563.   3362.   3303.   3164.   3275.
2027     3242.   3478.   3295.   3342.   3117.   3065.   3153.   3563.   3362.   3303.   3164.   3275.
2028     3242.   3478.   3295.   3342.   3117.   3065.   3153.   3563.   3362.   3303.   3164.   3275.
2029     3242.   3478.   3295.   3342.   3117.   3065.   3153.   3563.   3362.   3303.   3164.   3275.
POS      3242.   3478.   3295.   3342.   3117.   3065.   3153.   3563.   3362.   3303.   3164.   3275.
   2      SUL             MMGD S
2025                                                             1317.   1247.   1287.   1423.   1441.
2026     1414.   1428.   1374.   1269.   1082.    986.   1053.   1245.   1180.   1287.   1423.   1441.
2027     1414.   1428.   1374.   1269.   1082.    986.   1053.   1245.   1180.   1287.   1423.   1441.
2028     1414.   1428.   1374.   1269.   1082.    986.   1053.   1245.   1180.   1287.   1423.   1441.
2029     1414.   1428.   1374.   1269.   1082.    986.   1053.   1245.   1180.   1287.   1423.   1441.
POS      1414.   1428.   1374.   1269.   1082.    986.   1053.   1245.   1180.   1287.   1423.   1441.
   3 NORDESTE            MMGD NE
2025                                                             1409.   1501.   1292.   1275.   1233.
2026     1212.   1237.   1239.   1161.   1096.   1054.   1098.   1222.   1298.   1292.   1275.   1233.
2027     1212.   1237.   1239.   1161.   1096.   1054.   1098.   1222.   1298.   1292.   1275.   1233.
2028     1212.   1237.   1239.   1161.   1096.   1054.   1098.   1222.   1298.   1292.   1275.   1233.
2029     1212.   1237.   1239.   1161.   1096.   1054.   1098.   1222.   1298.   1292.   1275.   1233.
POS      1212.   1237.   1239.   1161.   1096.   1054.   1098.   1222.   1298.   1292.   1275.   1233.
   4    NORTE          BOA VISTA
2025                                                                0.      0.      0.      0.      0.
2026      195.    207.    211.    204.    182.    181.    181.    197.    220.    224.    218.    211.
2027      202.    214.    218.    212.    189.    187.    188.    204.    228.    232.    226.    219.
2028      209.    213.    226.    219.    196.    194.    194.    211.    236.    240.    234.    226.
2029      217.    229.    234.    227.    202.    201.    201.    219.    244.    248.    242.    234.
POS       217.    229.    234.    227.    202.    201.    201.    219.    244.    248.    242.    234.
   4    NORTE             MMGD N
2025                                                              540.    532.    473.    454.    427.
2026      428.    437.    431.    439.    448.    471.    482.    522.    516.    489.    469.    442.
2027      428.    437.    431.    439.    448.    471.    482.    522.    516.    489.    469.    442.
2028      428.    437.    431.    439.    448.    471.    482.    522.    516.    489.    469.    442.
2029      428.    437.    431.    439.    448.    471.    482.    522.    516.    489.    469.    442.
POS       428.    437.    431.    439.    448.    471.    482.    522.    516.    489.    469.    442.
 999
