&**************************************************
& Descrição colunas:
&**************************************************
& ID: Identificador do card
& CodPEE : Identificador único do parque eólico equivalente
& NomePEE : Nome do parque eólico equivalente
&*******;*********;**************************************************
&       ;CodPEE   ;NomePEE
&-      ;         ;
&SSSSSSS;IIIIIIIII;SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS
 PEE-CAD;        1;Eolica SECO
 PEE-CAD;        2;Eolica S
 PEE-CAD;        3;Eolica NE
 PEE-CAD;        4;Eolica N
 PEE-CAD;        11;Fotovoltaica SECO
 PEE-CAD;        12;Fotovoltaica S
 PEE-CAD;        13;Fotovoltaica NE
 PEE-CAD;        14;Fotovoltaica N
&
&**************************************************
& Descrição colunas:
&**************************************************
& ID: Identificador do card
& CodPEE : Identificador único do parque eólico equivalente
& PerIni : Período inicial de validade do dado
& PerFin : Período final de validade do dado
& EstadoOperEolica : Estado de operação da usina eólica no estudo
&**************;*********;*******;*******;****************
&              ;CodPEE   ;PerIni ;PerFin ;EstadoOperEolica
&-             ;         ;       ;       ;
&SSSSSSSSSSSSSS;IIIIIIIII;IIIIIII;IIIIIII;IIIIIIIIIIIIIIII
 PEE-CONFIG-PER;        1;      1;      2;centralizado
 PEE-CONFIG-PER;        2;      1;      2;centralizado
 PEE-CONFIG-PER;        3;      1;      2;centralizado
 PEE-CONFIG-PER;        4;      1;      2;centralizado
 PEE-CONFIG-PER;       11;      1;      2;centralizado
 PEE-CONFIG-PER;       12;      1;      2;centralizado
 PEE-CONFIG-PER;       13;      1;      2;centralizado
 PEE-CONFIG-PER;       14;      1;      2;centralizado
&
&**************************************************
& Descrição colunas:
&**************************************************
& ID: Identificador do card
& CodPEE : Identificador único do parque eólico equivalente
& CodSubm : Código do Submercado
&********;*********;********
&        ;CodPEE   ;CodSubm
&-       ;         ;
&SSSSSSSS;IIIIIIIII;IIIIIIII
 PEE-SUBM;        1;       1
 PEE-SUBM;        2;       2
 PEE-SUBM;        3;       3
 PEE-SUBM;        4;       4
 PEE-SUBM;       11;       1
 PEE-SUBM;       12;       2
 PEE-SUBM;       13;       3
 PEE-SUBM;       14;       4
&
&**************************************************
& Descrição colunas:
&**************************************************
& ID: Identificador do card
& CodPEE : Identificador único do parque eólico equivalente
& PerIni : Período inicial de validade do dado
& PerFin : Período final de validade do dado
& PotInstPEE : Capacidade (potência instalada) do parque eólico equivalente
&****************;*********;*******;*******;***************
&                ;CodPEE   ;PerIni ;PerFin ;PotInstPEE
&-               ;         ;       ;       ;MW
&SSSSSSSSSSSSSSSS;IIIIIIIII;IIIIIII;IIIIIII;FFFFFFFFFFFFFFF
 PEE-POT-INST-PER;        1;      1;      2;          99999
 PEE-POT-INST-PER;        2;      1;      2;          99999
 PEE-POT-INST-PER;        3;      1;      2;          99999
 PEE-POT-INST-PER;        4;      1;      2;          99999
 PEE-POT-INST-PER;       11;      1;      2;          99999
 PEE-POT-INST-PER;       12;      1;      2;          99999
 PEE-POT-INST-PER;       13;      1;      2;          99999
 PEE-POT-INST-PER;       14;      1;      2;          99999
 &
&**************************************************
& Descrição colunas:
&**************************************************
& ID: Identificador do card
& CodPEE : Identificador único do parque eólico equivalente
& PerIni : Período inicial de validade do dado
& PerFin : Período final de validade do dado
& Pat : Índice do patamar de carga no período
& GerEolica : Valor de geração eólica
&*******************;*********;*******;*******;******;***;***********
&                   ;CodPEE   ;PerIni ;PerFin ;Pat   ;Cen;GerEolica
&-                  ;         ;       ;       ;      ;   ;MW
PEE-GER-PER-PAT-CEN;1;1;1;1;1;10.6342
PEE-GER-PER-PAT-CEN;1;1;1;2;1;8.1875
PEE-GER-PER-PAT-CEN;1;1;1;3;1;6.4737
PEE-GER-PER-PAT-CEN;1;2;2;1;1;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;1;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;1;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;2;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;2;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;2;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;3;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;3;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;3;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;4;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;4;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;4;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;5;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;5;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;5;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;6;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;6;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;6;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;7;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;7;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;7;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;8;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;8;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;8;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;9;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;9;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;9;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;10;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;10;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;10;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;11;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;11;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;11;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;12;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;12;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;12;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;13;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;13;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;13;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;14;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;14;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;14;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;15;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;15;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;15;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;16;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;16;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;16;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;17;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;17;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;17;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;18;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;18;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;18;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;19;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;19;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;19;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;20;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;20;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;20;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;21;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;21;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;21;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;22;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;22;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;22;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;23;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;23;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;23;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;24;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;24;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;24;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;25;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;25;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;25;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;26;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;26;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;26;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;27;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;27;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;27;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;28;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;28;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;28;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;29;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;29;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;29;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;30;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;30;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;30;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;31;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;31;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;31;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;32;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;32;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;32;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;33;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;33;7.8377
