 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1  SUDESTE        CONS.ITAIPU
2026       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2027       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2028       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2029       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2030       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
POS        18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
   1  SUDESTE               ANDE
2026     3442.   3443.   2862.   2498.   2705.   2661.   2709.   2774.   3064.   3169.   2565.   2428.
2027     3108.   3205.   3005.   2623.   2840.   2794.   2844.   2913.   3217.   3328.   2693.   2549.
2028     3263.   3249.   3155.   2755.   2982.   2934.   2987.   3058.   3378.   3494.   2827.   2676.
2029     3426.   3533.   3313.   2892.   3131.   3080.   3136.   3211.   3547.   3669.   2969.   2810.
2030     3597.   3710.   3474.   3037.   3287.   3234.   3293.   3372.   3724.   3853.   3117.   2951.
POS      3597.   3710.   3474.   3037.   3287.   3234.   3293.   3372.   3724.   3853.   3117.   2951.
   1  SUDESTE            MMGD SE
2026     3713.   3986.   3805.   3826.   3567.   3509.   3609.   4083.   3853.   3784.   3621.   3749.
2027     3713.   3986.   3805.   3826.   3567.   3509.   3609.   4083.   3853.   3784.   3621.   3749.
2028     3713.   3986.   3805.   3826.   3567.   3509.   3609.   4083.   3853.   3784.   3621.   3749.
2029     3713.   3986.   3805.   3826.   3567.   3509.   3609.   4083.   3853.   3784.   3621.   3749.
2030     3713.   3986.   3805.   3826.   3567.   3509.   3609.   4083.   3853.   3784.   3621.   3749.
POS      3713.   3986.   3805.   3826.   3567.   3509.   3609.   4083.   3853.   3784.   3621.   3749.
   2      SUL             MMGD S
2026     1550.   1566.   1528.   1409.   1199.   1092.   1160.   1369.   1298.   1413.   1561.   1582.
2027     1550.   1566.   1528.   1409.   1199.   1092.   1160.   1369.   1298.   1413.   1561.   1582.
2028     1550.   1566.   1528.   1409.   1199.   1092.   1160.   1369.   1298.   1413.   1561.   1582.
2029     1550.   1566.   1528.   1409.   1199.   1092.   1160.   1369.   1298.   1413.   1561.   1582.
2030     1550.   1566.   1528.   1409.   1199.   1092.   1160.   1369.   1298.   1413.   1561.   1582.
POS      1550.   1566.   1528.   1409.   1199.   1092.   1160.   1369.   1298.   1413.   1561.   1582.
   3 NORDESTE            MMGD NE
2026     1480.   1509.   1524.   1414.   1331.   1279.   1332.   1484.   1580.   1574.   1559.   1513.
2027     1480.   1509.   1524.   1414.   1331.   1279.   1332.   1484.   1580.   1574.   1559.   1513.
2028     1480.   1509.   1524.   1414.   1331.   1279.   1332.   1484.   1580.   1574.   1559.   1513.
2029     1480.   1509.   1524.   1414.   1331.   1279.   1332.   1484.   1580.   1574.   1559.   1513.
2030     1480.   1509.   1524.   1414.   1331.   1279.   1332.   1484.   1580.   1574.   1559.   1513.
POS      1480.   1509.   1524.   1414.   1331.   1279.   1332.   1484.   1580.   1574.   1559.   1513.
   4    NORTE          BOA VISTA
2026      179.    191.    194.    187.    165.    162.    163.    178.    199.    203.    200.    192.
2027      190.    202.    205.    197.    174.    172.    172.    188.    211.    214.    211.    202.
2028      200.    205.    216.    208.    184.    181.    181.    198.    222.    226.    222.    213.
2029      211.    224.    228.    219.    194.    191.    191.    209.    234.    238.    234.    225.
2030      223.    237.    242.    232.    205.    202.    202.    221.    248.    252.    248.    238.
POS       223.    237.    242.    232.    205.    202.    202.    221.    248.    252.    248.    238.
   4    NORTE             MMGD N
2026      489.    499.    501.    504.    512.    538.    551.    596.    589.    559.    536.    504.
2027      489.    499.    501.    504.    512.    538.    551.    596.    589.    559.    536.    504.
2028      489.    499.    501.    504.    512.    538.    551.    596.    589.    559.    536.    504.
2029      489.    499.    501.    504.    512.    538.    551.    596.    589.    559.    536.    504.
2030      489.    499.    501.    504.    512.    538.    551.    596.    589.    559.    536.    504.
POS       489.    499.    501.    504.    512.    538.    551.    596.    589.    559.    536.    504.
 999
