EMPRESA          COD USINA           UNTDDMMAAAA DUR.    POT.
XXAAAAAAAAAAA    XXXAAAAAAAAAAAAA    XXAXXXXXXXX XXX   XXXX.XX
21SUAPE II       170SUAPE II          5 01092026   7     22.43
21SUAPE II       170SUAPE II          6 01082026   2     22.43
21SUAPE II       170SUAPE II          8 01112026   2     22.43
21SUAPE II       170SUAPE II         12 01092026   2     22.43
21SUAPE II       170SUAPE II         16 01092026   2     22.43
21SUAPE II       170SUAPE II         17 01102026   2     22.43
68PETROBRAS       43TERMOBAHIA        1 18112026  20    185.90
68PETROBRAS       58TERMOCEARA        1 10082026  16     55.75
68PETROBRAS       58TERMOCEARA        1 19112026   8     55.75
68PETROBRAS       58TERMOCEARA        2 19112026   8     57.11
68PETROBRAS       58TERMOCEARA        3 19112026   8     56.24
68PETROBRAS       58TERMOCEARA        4 19112026   8     53.89
96TERMOPE         96TERMOPE           1 01042026  10    171.03
96TERMOPE         96TERMOPE           2 01042026  10    170.40
96TERMOPE         96TERMOPE           3 01042026  10    208.57
68PETROBRAS       83VALE DO ACU       1 02112026  21    110.00
34J&F            201APARECIDA         1 20042026   5     40.00
34J&F            201APARECIDA         1 07072026   2     40.00
34J&F            201APARECIDA         1 05102026   5     40.00
34J&F            201APARECIDA         2 07042026   2     40.00
34J&F            201APARECIDA         2 20072026   5     40.00
34J&F            201APARECIDA         2 20102026   2     40.00
34J&F            201APARECIDA         3 04052026  15     43.00
34J&F            201APARECIDA         3 25082026   2     43.00
34J&F            201APARECIDA         3 24112026   4     43.00
34J&F            201APARECIDA         4 17032026   2     43.00
34J&F            201APARECIDA         4 16062026   4     43.00
34J&F            201APARECIDA         4 15092026   2     43.00
34J&F            201APARECIDA         4 08122026   4     43.00
34OXE            323BONFIM            1 01072026   3     11.50
34OXE            324CANTA             1 04072026   5     11.50
25GERA MA         73GERAMAR I         1 26062026   5     34.92
25GERA MA         73GERAMAR I         1 30082026   4     34.92
25GERA MA         73GERAMAR I         2 26062026   5     43.65
25GERA MA         73GERAMAR I         2 30082026   4     43.65
25GERA MA         73GERAMAR I         3 01072026   5     43.65
25GERA MA         73GERAMAR I         3 30082026   4     43.65
25GERA MA         73GERAMAR I         4 01072026   5     43.65
25GERA MA         73GERAMAR I         4 30082026   4     43.65
