NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
  60 FCMAX     0.00  8 2026          
 229 POTEF    50.00  1 2026          ONCA PINTADA
 229 FCMAX   100.00  1 2026  2 2026  
 229 TEIFT     0.00  1 2026  2 2026  
 229 GTMIN 00027.44  4 2026  6 2026
 229 IPTER     0.00  1 2027  3 2027  
 229 IPTER    16.67  4 2027  4 2027  
 229 IPTER     0.00  5 2027 12 2027  
 229 GTMIN 00027.44  5 2027  7 2027
 229 GTMIN 00027.44  4 2028  6 2028
 229 GTMIN 00027.44  4 2029  6 2029
 229 GTMIN 00027.44  4 2030  6 2030
 182 POTEF   175.56  1 2026          PALMEIRAS GO
 182 FCMAX     0.00  1 2026          
 248 POTEF    20.20  1 2026          PAULINIA VER
 248 FCMAX     0.00  1 2026          
 249 POTEF   115.92  1 2026  5 2026  PORSUD I
 249 TEIFT     0.00  1 2026  2 2026  
 250 POTEF    78.32  1 2026  5 2026  PORSUD II
 250 FCMAX    99.59  1 2026  2 2026  
 250 TEIFT     0.00  1 2026  2 2026  
 250 FCMAX    99.14  3 2026  5 2026  
 251 POTEF    74.96  1 2026  1 2026  POVOACAO 1
 251 FCMAX    31.54  1 2026  1 2026  
 251 TEIFT     0.00  1 2026  1 2026  
 451 POTEF    74.96  1 2026          POVOACAO_MCH
 451 FCMAX    59.69  1 2026  1 2026  
 451 TEIFT     0.00  1 2026  2 2026  
 451 FCMAX    32.26  1 2027  1 2027  
 451 FCMAX     0.00  2 2027          
  62 POTEF   360.00  1 2026          SEROPEDICA
  62 TEIFT     0.00  1 2026  2 2026  
  62 GTMIN    14.47  1 2026  1 2026
  62 FCMAX     0.00  7 2026          
   4 POTEF   436.00  1 2026          ST.CRUZ 34
   4 FCMAX     0.00  1 2026          
  86 POTEF   500.00  1 2026          ST.CRUZ NOVA
  86 TEIFT     0.00  1 2026  4 2026  
  86 FCMAX     0.00  1 2027          
 146 POTEF    41.40  1 2026          STA VITORIA
 146 FCMAX     0.00  1 2026  2 2026  
 146 GTMIN 00016.00  3 2026 12 2026
 146 IPTER   100.00  1 2027  2 2027  
 146 IPTER     6.45  3 2027  3 2027  
 146 GTMIN    16.00  3 2027
 146 IPTER     0.00  4 2027 12 2027  
 194 POTEF   349.00  1 2026          T. NORTE 2
 194 FCMAX     0.00  1 2026          
  90 POTEF   922.62  1 2026          TERMOMACAE
  90 FCMAX    96.77  1 2026  1 2026  
  90 TEIFT     0.00  1 2026  2 2026  
  90 GTMIN    32.56  1 2026  1 2026
  90 FCMAX    98.31  2 2026  2 2026  
  90 FCMAX     0.00  1 2027          
  47 POTEF   989.20  1 2026          TERMORIO
  47 FCMAX    99.98  1 2026  2 2026  
  47 TEIFT     0.00  1 2026  2 2026  
  47 GTMIN    19.35  1 2026  1 2026
  47 IPTER     0.00  1 2027  6 2027  
  47 IPTER    34.67  7 2027  7 2027  
  47 IPTER     0.00  8 2027  9 2027  
  47 IPTER    10.24 10 2027 10 2027  
  47 IPTER     0.00 11 2027 12 2027  
  68 POTEF   350.00  1 2026          TRES LAGOAS
  68 TEIFT     0.00  1 2026  2 2026  
  68 GTMIN    17.42  1 2026  1 2026
  68 FCMAX    25.81  7 2026  7 2026  
  68 FCMAX     0.00  8 2026          
  49 POTEF   174.60  1 2026          VIANA
  49 TEIFT     0.00  1 2026  2 2026  
 253 POTEF    37.48  1 2026          VIANA 1
 253 TEIFT     0.00  1 2026  2 2026  
 253 FCMAX     0.00  1 2027          
 334 POTEF   144.42  1 2026          W. ARJONA
 334 FCMAX    99.71  1 2026  2 2026  
 334 TEIFT     0.00  1 2026  2 2026  
 334 FCMAX     0.00  1 2027          
 108 POTEF    53.58  1 2026          XAVANTES
 108 FCMAX     0.00  1 2026          
  48 POTEF   484.15  1 2026          ARAUCARIA
  48 FCMAX    99.97  1 2026  2 2026  
  48 TEIFT     0.00  1 2026  2 2026  
  48 FCMAX     3.23  7 2026  7 2026  
  48 FCMAX     0.00  8 2026          
 254 POTEF    10.32  1 2026          B. BONITA I
 254 FCMAX     0.00  1 2026          
 237 POTEF    50.00  8 2027          CAMBARA
 237 GTMIN    20.00  8 2027
 156 POTEF   350.00  1 2026          CANDIOTA 3
 156 TEIFT     0.00  1 2026  2 2026  
 156 GTMIN   210.00  5 2026  5 2026
 156 FCMAX    13.33  6 2026  6 2026  
 156 GTMIN    28.00  6 2026  6 2026
 156 FCMAX     0.00  7 2026          
  64 POTEF   248.57  1 2026          CANOAS
  64 TEIFT     0.00  1 2026  2 2026  
  64 FCMAX     3.23  7 2026  7 2026  
  64 FCMAX     0.00  8 2026          
  26 POTEF    80.00  1 2026          J.LACERDA A1
