&RE; cod_rest;  formula
RE ;        1;   ger_usih(285) + ger_usih(287)
RE ;       20;   1.0ener_interc(2,1) + 0.5ger_usih(66)
RE ;       21;   1.0ener_interc(11,1) + ger_usih(261)+ ger_usih(257)
RE ;       22;   1.0ener_interc(11,1) + 1.0ener_interc(3,1) + ger_usih(261)+ ger_usih(257)
RE ;       23;   1.0ener_interc(11,1) + 1.0ener_interc(3,1) + 1.0ener_interc(4,1) + ger_usih(261)+ ger_usih(257)
& Tratamento realizado pela CCEE, com base no Art. 20, paragrafo 2, da REN ANEEL no 1032/2022
&RE ;       10;   ger_usih(204) + ger_usih(284)
RE ;       24;   ger_usih(112)
 
&RE-HORIZ-PER; cod_rest; PerIni; PerFin
& Tratamento realizado pela CCEE, com base no Art. 20, paragrafo 2, da REN ANEEL no 1032/2022
&RE-LIM-FORM-PER-PAT ;       10; 2026/01; 2026/02;     1;   -1.1e30;   400.00
&RE-LIM-FORM-PER-PAT ;       10; 2026/01; 2026/02;     2;   -1.1e30;   400.00
&RE-LIM-FORM-PER-PAT ;       10; 2026/01; 2026/02;     3;   -1.1e30;   400.00
& Restrição de geração UHE Jacuí
RE-LIM-FORM-PER-PAT ;       24; 2026/01; 2026/09;     1;   -1.1e30;     0.00
RE-LIM-FORM-PER-PAT ;       24; 2026/01; 2026/09;     2;   -1.1e30;     0.00
RE-LIM-FORM-PER-PAT ;       24; 2026/01; 2026/09;     3;   -1.1e30;     0.00
RE-LIM-FORM-PER-PAT ;       24; 2026/10; 2026/11;     1;   -1.1e30;    30.00
RE-LIM-FORM-PER-PAT ;       24; 2026/10; 2026/11;     2;   -1.1e30;    30.00
RE-LIM-FORM-PER-PAT ;       24; 2026/10; 2026/11;     3;   -1.1e30;    30.00
RE-LIM-FORM-PER-PAT ;       24; 2026/12; 2026/12;     1;   -1.1e30;    60.00
RE-LIM-FORM-PER-PAT ;       24; 2026/12; 2026/12;     2;   -1.1e30;    60.00
RE-LIM-FORM-PER-PAT ;       24; 2026/12; 2026/12;     3;   -1.1e30;    60.00
