&**************************************************
& Descrição colunas:
&**************************************************
& ID: Identificador do card
& CodPEE : Identificador único do parque eólico equivalente
& NomePEE : Nome do parque eólico equivalente
&*******;*********;**************************************************
&       ;CodPEE   ;NomePEE
&-      ;         ;
&SSSSSSS;IIIIIIIII;SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS
 PEE-CAD;        1;Eolica SECO
 PEE-CAD;        2;Eolica S
 PEE-CAD;        3;Eolica NE
 PEE-CAD;        4;Eolica N
 PEE-CAD;        11;Fotovoltaica SECO
 PEE-CAD;        12;Fotovoltaica S
 PEE-CAD;        13;Fotovoltaica NE
 PEE-CAD;        14;Fotovoltaica N
&
&**************************************************
& Descrição colunas:
&**************************************************
& ID: Identificador do card
& CodPEE : Identificador único do parque eólico equivalente
& PerIni : Período inicial de validade do dado
& PerFin : Período final de validade do dado
& EstadoOperEolica : Estado de operação da usina eólica no estudo
&**************;*********;*******;*******;****************
&              ;CodPEE   ;PerIni ;PerFin ;EstadoOperEolica
&-             ;         ;       ;       ;
&SSSSSSSSSSSSSS;IIIIIIIII;IIIIIII;IIIIIII;IIIIIIIIIIIIIIII
 PEE-CONFIG-PER;        1;      1;      5;centralizado
 PEE-CONFIG-PER;        2;      1;      5;centralizado
 PEE-CONFIG-PER;        3;      1;      5;centralizado
 PEE-CONFIG-PER;        4;      1;      5;centralizado
 PEE-CONFIG-PER;       11;      1;      5;centralizado
 PEE-CONFIG-PER;       12;      1;      5;centralizado
 PEE-CONFIG-PER;       13;      1;      5;centralizado
 PEE-CONFIG-PER;       14;      1;      5;centralizado
&
&**************************************************
& Descrição colunas:
&**************************************************
& ID: Identificador do card
& CodPEE : Identificador único do parque eólico equivalente
& CodSubm : Código do Submercado
&********;*********;********
&        ;CodPEE   ;CodSubm
&-       ;         ;
&SSSSSSSS;IIIIIIIII;IIIIIIII
 PEE-SUBM;        1;       1
 PEE-SUBM;        2;       2
 PEE-SUBM;        3;       3
 PEE-SUBM;        4;       4
 PEE-SUBM;       11;       1
 PEE-SUBM;       12;       2
 PEE-SUBM;       13;       3
 PEE-SUBM;       14;       4
&
&**************************************************
& Descrição colunas:
&**************************************************
& ID: Identificador do card
& CodPEE : Identificador único do parque eólico equivalente
& PerIni : Período inicial de validade do dado
& PerFin : Período final de validade do dado
& PotInstPEE : Capacidade (potência instalada) do parque eólico equivalente
&****************;*********;*******;*******;***************
&                ;CodPEE   ;PerIni ;PerFin ;PotInstPEE
&-               ;         ;       ;       ;MW
&SSSSSSSSSSSSSSSS;IIIIIIIII;IIIIIII;IIIIIII;FFFFFFFFFFFFFFF
 PEE-POT-INST-PER;        1;      1;      5;          99999
 PEE-POT-INST-PER;        2;      1;      5;          99999
 PEE-POT-INST-PER;        3;      1;      5;          99999
 PEE-POT-INST-PER;        4;      1;      5;          99999
 PEE-POT-INST-PER;       11;      1;      5;          99999
 PEE-POT-INST-PER;       12;      1;      5;          99999
 PEE-POT-INST-PER;       13;      1;      5;          99999
 PEE-POT-INST-PER;       14;      1;      5;          99999
 &
&**************************************************
& Descrição colunas:
&**************************************************
& ID: Identificador do card
& CodPEE : Identificador único do parque eólico equivalente
& PerIni : Período inicial de validade do dado
& PerFin : Período final de validade do dado
& Pat : Índice do patamar de carga no período
& GerEolica : Valor de geração eólica
&*******************;*********;*******;*******;******;***;***********
&                   ;CodPEE   ;PerIni ;PerFin ;Pat   ;Cen;GerEolica
&-                  ;         ;       ;       ;      ;   ;MW
PEE-GER-PER-PAT-CEN;1;1;1;1;1;10.15
PEE-GER-PER-PAT-CEN;1;1;1;2;1;8.6473
PEE-GER-PER-PAT-CEN;1;1;1;3;1;6.1113
PEE-GER-PER-PAT-CEN;1;2;2;1;1;10.15
PEE-GER-PER-PAT-CEN;1;2;2;2;1;8.6473
PEE-GER-PER-PAT-CEN;1;2;2;3;1;6.1113
PEE-GER-PER-PAT-CEN;1;3;3;1;1;10.15
PEE-GER-PER-PAT-CEN;1;3;3;2;1;8.6473
PEE-GER-PER-PAT-CEN;1;3;3;3;1;6.1113
PEE-GER-PER-PAT-CEN;1;4;4;1;1;10.15
PEE-GER-PER-PAT-CEN;1;4;4;2;1;8.6473
PEE-GER-PER-PAT-CEN;1;4;4;3;1;6.1113
PEE-GER-PER-PAT-CEN;1;5;5;1;1;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;1;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;1;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;2;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;2;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;2;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;3;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;3;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;3;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;4;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;4;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;4;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;5;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;5;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;5;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;6;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;6;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;6;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;7;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;7;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;7;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;8;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;8;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;8;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;9;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;9;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;9;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;10;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;10;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;10;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;11;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;11;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;11;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;12;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;12;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;12;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;13;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;13;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;13;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;14;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;14;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;14;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;15;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;15;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;15;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;16;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;16;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;16;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;17;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;17;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;17;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;18;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;18;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;18;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;19;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;19;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;19;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;20;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;20;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;20;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;21;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;21;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;21;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;22;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;22;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;22;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;23;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;23;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;23;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;24;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;24;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;24;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;25;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;25;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;25;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;26;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;26;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;26;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;27;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;27;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;27;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;28;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;28;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;28;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;29;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;29;8.8904
PEE-GER-PER-PAT-CEN;1;5;5;3;29;6.6136
PEE-GER-PER-PAT-CEN;1;5;5;1;30;12.2593
PEE-GER-PER-PAT-CEN;1;5;5;2;30;8.8904
