codigo,nome_arquivo,nome_completo,posto,submercado,empresa,arquivo_fonte,tipo
2,CAMARGOS,CAMARGOS,1,1,18,HIDR,usina
3,ITUTINGA,ITUTINGA,2,1,18,HIDR,usina
5,FUNIL-GRANDE,FUNIL-GRANDE,211,1,18,HIDR,usina
7,FURNAS,FURNAS,6,1,339,HIDR,usina
8,M. DE MORAES,M. DE MORAES,7,1,339,HIDR,usina
9,ESTREITO,ESTREITO,8,1,339,HIDR,usina
10,JAGUARA,JAGUARA,9,1,24,HIDR,usina
11,IGARAPAVA,IGARAPAVA,10,1,18,HIDR,usina
12,VOLTA GRANDE,VOLTA GRANDE,11,1,287,HIDR,usina
13,P. COLOMBIA,P. COLOMBIA,12,1,339,HIDR,usina
15,CACONDE,CACONDE,14,1,56,HIDR,usina
16,E. DA CUNHA,E. DA CUNHA,15,1,56,HIDR,usina
17,A.S.OLIVEIRA,A.S.OLIVEIRA,16,1,56,HIDR,usina
18,MARIMBONDO,MARIMBONDO,17,1,339,HIDR,usina
19,A. VERMELHA,A. VERMELHA,18,1,56,HIDR,usina
21,BATALHA,BATALHA,22,1,19,HIDR,usina
22,SERRA FACAO,SERRA FACAO,251,1,138,HIDR,usina
23,BOCAINA,BOCAINA,20,1,51,HIDR,usina
25,EMBORCACAO,EMBORCACAO,24,1,18,HIDR,usina
26,NOVA PONTE,NOVA PONTE,25,1,18,HIDR,usina
27,MIRANDA,MIRANDA,206,1,24,HIDR,usina
28,CAPIM BRANC1,CAPIM BRANC1,207,1,18,HIDR,usina
29,CAPIM BRANC2,CAPIM BRANC2,28,1,18,HIDR,usina
30,CORUMBA IV,CORUMBA IV,205,1,94,HIDR,usina
31,CORUMBA I,CORUMBA I,209,1,339,HIDR,usina
32,ITUMBIARA,ITUMBIARA,31,1,339,HIDR,usina
33,CACH.DOURADA,CACH.DOURADA,32,1,287,HIDR,usina
34,SAO SIMAO,SAO SIMAO,33,1,285,HIDR,usina
35,I. SOLTEIRA,I. SOLTEIRA,34,1,281,HIDR,usina
38,BARRA BONITA,BARRA BONITA,237,1,56,HIDR,usina
39,A.S. LIMA,A.S. LIMA,238,1,56,HIDR,usina
40,IBITINGA,IBITINGA,239,1,56,HIDR,usina
41,PROMISSAO,PROMISSAO,240,1,56,HIDR,usina
43,NAVANHANDAVA,NAVANHANDAVA,242,1,56,HIDR,usina
44,TRES IRMAOS,TRES IRMAOS,243,1,280,HIDR,usina
45,I. SOLT. EQV,I. SOLT. EQV,244,1,282,HIDR,usina
46,JUPIA,JUPIA,245,1,281,HIDR,usina
47,P. PRIMAVERA,P. PRIMAVERA,246,1,16,HIDR,usina
48,A.A. LAYDNER,A.A. LAYDNER,47,1,55,HIDR,usina
49,PIRAJU,PIRAJU,48,1,65,HIDR,usina
50,CHAVANTES,CHAVANTES,49,1,55,HIDR,usina
51,L.N. GARCEZ,L.N. GARCEZ,50,1,55,HIDR,usina
52,CANOAS II,CANOAS II,51,1,55,HIDR,usina
53,CANOAS I,CANOAS I,52,1,55,HIDR,usina
54,PARANAPANEMA,PARANAPANEMA,53,1,287,HIDR,usina
55,STA BRANCA T,STA BRANCA T,54,2,277,HIDR,usina
56,TIBAGI MONT,TIBAGI MONT,55,2,288,HIDR,usina
58,MAUA,MAUA,57,2,23,HIDR,usina
59,SAO JERONIMO,SAO JERONIMO,58,2,186,HIDR,usina
62,CAPIVARA,CAPIVARA,61,1,55,HIDR,usina
63,TAQUARUCU,TAQUARUCU,62,1,55,HIDR,usina
64,ROSANA,ROSANA,63,1,55,HIDR,usina
67,ITAIPU,ITAIPU,266,1,40,HIDR,usina
72,STA CLARA PR,STA CLARA PR,71,2,23,HIDR,usina
73,FUNDAO,FUNDAO,72,2,23,HIDR,usina
74,JORDAO,JORDAO,73,2,23,HIDR,usina
75,G.B. MUNHOZ,G.B. MUNHOZ,74,2,23,HIDR,usina
76,S GDE CHOPIM,S GDE CHOPIM,65,2,23,HIDR,usina
77,SEGREDO,SEGREDO,76,2,23,HIDR,usina
78,SLT.SANTIAGO,SLT.SANTIAGO,77,2,24,HIDR,usina
79,SALTO OSORIO,SALTO OSORIO,78,2,24,HIDR,usina
81,SAO JOAO,SAO JOAO,80,2,122,HIDR,usina
82,CACHOEIRINHA,CACHOEIRINHA,83,2,122,HIDR,usina
83,SALTO CAXIAS,SALTO CAXIAS,222,2,23,HIDR,usina
84,BAIXO IGUACU,BAIXO IGUACU,81,2,224,HIDR,usina
86,PAI QUERE,PAI QUERE,85,2,131,HIDR,usina
87,BARRA GRANDE,BARRA GRANDE,215,2,331,HIDR,usina
89,SAO ROQUE,SAO ROQUE,88,2,110,HIDR,usina
90,GARIBALDI,GARIBALDI,89,2,238,HIDR,usina
91,CAMPOS NOVOS,CAMPOS NOVOS,216,2,332,HIDR,usina
92,MACHADINHO,MACHADINHO,217,2,330,HIDR,usina
93,ITA,ITA,92,2,24,HIDR,usina
94,PASSO FUNDO,PASSO FUNDO,93,2,24,HIDR,usina
95,MONJOLINHO,MONJOLINHO,220,2,294,HIDR,usina
96,QUEBRA QUEIX,QUEBRA QUEIX,286,2,75,HIDR,usina
98,CASTRO ALVES,CASTRO ALVES,98,2,61,HIDR,usina
99,MONTE CLARO,MONTE CLARO,97,2,61,HIDR,usina
100,14 DE JULHO,14 DE JULHO,284,2,61,HIDR,usina
102,SAO JOSE,SAO JOSE,102,2,228,HIDR,usina
103,PASSO S JOAO,PASSO S JOAO,103,2,189,HIDR,usina
104,FOZ CHAPECO,FOZ CHAPECO,94,2,159,HIDR,usina
106,PONTE NOVA,PONTE NOVA,160,1,15,HIDR,usina
108,EDGARD SOUZA,EDGARD SOUZA,161,1,15,HIDR,usina
109,TRAICAO,TRAICAO,104,1,15,HIDR,usina
110,PEDREIRA,PEDREIRA,109,1,15,HIDR,usina
111,ERNESTINA,ERNESTINA,110,2,22,HIDR,usina
112,PASSO REAL,PASSO REAL,111,2,22,HIDR,usina
113,JACUI,JACUI,112,2,22,HIDR,usina
114,ITAUBA,ITAUBA,113,2,22,HIDR,usina
115,D. FRANCISCA,D. FRANCISCA,114,2,333,HIDR,usina
116,G.P. SOUZA,G.P. SOUZA,115,2,23,HIDR,usina
118,GUARAPIRANGA,GUARAPIRANGA,117,1,15,HIDR,usina
119,BILLINGS,BILLINGS,118,1,15,HIDR,usina
120,HENRY BORDEN,HENRY BORDEN,116,1,15,HIDR,usina
121,JAGUARI,JAGUARI,120,1,19,HIDR,usina
122,PARAIBUNA,PARAIBUNA,121,1,16,HIDR,usina
123,SANTA BRANCA,SANTA BRANCA,122,1,17,HIDR,usina
124,FUNIL,FUNIL,123,1,339,HIDR,usina
