codigo,nome_arquivo,nome_completo,usina ,arquivo_fonte,tipo
259,PORTOCEM I,PORTOCEM I,Portocem I,EXPT,usina
260,AZULAO,AZULAO,Azulao ,EXPT,usina
262,AZULAO II,AZULAO II,Azulao II,EXPT,usina
263,AZULAO IV,AZULAO IV,Azulao IV,EXPT,usina
264,MANAUS I,MANAUS I,Manaus I,EXPT,usina
322,BBF BALIZA,BBF BALIZA,BBF Baliza,EXPT,usina
323,BONFIM,BONFIM,Bonfim ,EXPT,usina
324,CANTA,CANTA,Canta,EXPT,usina
326,JAGUATIRI II,JAGUATIRI II,Jaguatiri II,EXPT,usina
327,M.CRISTO SUC,M.CRISTO SUC,Monte Cristo Sucuraba,EXPT,usina
328,PALMAPLAN 2,PALMAPLAN 2,Palmaplan 2,EXPT,usina
329,PAU RAINHA,PAU RAINHA,Pau rainha ,EXPT,usina
330,SANTA LUZ,SANTA LUZ,Santa Luz,EXPT,usina
334,W. ARJONA,W. ARJONA,William Arjona,EXPT,usina
415,LORM_MCH,LORM_MCH,LORM_MCH,EXPT,usina
451,POVOACAO_MCH,POVOACAO_MCH,Povoacao_mch,EXPT,usina
