 PCHAVE       PENALID1. PENALID2.   SIS
 XXXXXX       XXXXX.XX  XXXXX.XX    XXX
 DESVIO        8300.00                1
 DESVIO        8300.00                2
 DESVIO        8300.00                3
 DESVIO        8300.00                4
 DESVIO        8300.00                5
 DESVIO        8300.00                6
 DESVIO        8300.00                7
 DESVIO        8300.00                8
 DESVIO        8300.00                9
 DESVIO        8300.00               10
 DESVIO        8300.00               11
 DESVIO        8300.00               12
 VAZMIN        3180.98                1
 VAZMIN        3180.98                2
 VAZMIN        3180.98                3
 VAZMIN        3180.98                4
 VAZMIN        3180.98                5
 VAZMIN        3180.98                6
 VAZMIN        3180.98                7
 VAZMIN        3180.98                8
 VAZMIN        3180.98                9
 VAZMIN        3180.98               10
 VAZMIN        3180.98               11
 VAZMIN        3180.98               12
 GHMIN         3180.98                1
 GHMIN         3180.98                2
 GHMIN         3180.98                3
 GHMIN         3180.98                4
 GHMIN         3180.98                5
 GHMIN         3180.98                6
 GHMIN         3180.98                7
 GHMIN         3180.98                8
 GHMIN         3180.98                9
 GHMIN         3180.98               10
 GHMIN         3180.98               11
 GHMIN         3180.98               12
 TURBMN        3180.98                1
 TURBMN        3180.98                2
 TURBMN        3180.98                3
 TURBMN        3180.98                4
 TURBMN        3180.98                5
 TURBMN        3180.98                6
 TURBMN        3180.98                7
 TURBMN        3180.98                8
 TURBMN        3180.98                9
 TURBMN        3180.98               10
 TURBMN        3180.98               11
 TURBMN        3180.98               12
 TURBMX        3180.98                1
 TURBMX        3180.98                2
 TURBMX        3180.98                3
 TURBMX        3180.98                4
 TURBMX        3180.98                5
 TURBMX        3180.98                6
 TURBMX        3180.98                7
 TURBMX        3180.98                8
 TURBMX        3180.98                9
 TURBMX        3180.98               10
 TURBMX        3180.98               11
 TURBMX        3180.98               12
 ELETRI        3180.98                1
 ELETRI        3180.98                2
 ELETRI        3180.98                3
 ELETRI        3180.98                4
 ELETRI        3180.98                5
 ELETRI        3180.98                6
 ELETRI        3180.98                7
 ELETRI        3180.98                8
 ELETRI        3180.98                9
 ELETRI        3180.98               10
 ELETRI        3180.98               11
 ELETRI        3180.98               12
