EMPRESA          COD USINA           UNTDDMMAAAA DUR.    POT.
XXAAAAAAAAAAA    XXXAAAAAAAAAAAAA    XXAXXXXXXXX XXX   XXXX.XX
21SUAPE II       170SUAPE II         16 27092025   2     22.43
21SUAPE II       170SUAPE II         17 23082025   2     22.43
21SUAPE II       170SUAPE II         17 08122025   2     22.43
68PETROBRAS       58TERMOCEARA        2 01072025  10     57.11
68PETROBRAS       58TERMOCEARA        2 01112025  10     57.11
96TERMOPE         96TERMOPE           1 01032025  10    171.03
96TERMOPE         96TERMOPE           2 01032025  10    170.40
96TERMOPE         96TERMOPE           3 01032025  10    208.57
68PETROBRAS       83VALE DO ACU       1 14042025   6    110.00
37ELETRONORTE    201APARECIDA         1 11032025   4     40.00
37ELETRONORTE    201APARECIDA         1 07052025   3     40.00
37ELETRONORTE    201APARECIDA         1 08072025   4     40.00
37ELETRONORTE    201APARECIDA         1 10092025   3     40.00
37ELETRONORTE    201APARECIDA         1 04112025   4     40.00
37ELETRONORTE    201APARECIDA         2 26032025   3     40.00
37ELETRONORTE    201APARECIDA         2 20052025   4     40.00
37ELETRONORTE    201APARECIDA         2 15072025   4     40.00
37ELETRONORTE    201APARECIDA         2 24092025   3     40.00
37ELETRONORTE    201APARECIDA         2 26112025   3     40.00
37ELETRONORTE    201APARECIDA         3 08042025   4     43.00
37ELETRONORTE    201APARECIDA         3 11062025   3     43.00
37ELETRONORTE    201APARECIDA         3 12082025   4     43.00
37ELETRONORTE    201APARECIDA         3 08102025   3     43.00
37ELETRONORTE    201APARECIDA         3 09122025   4     43.00
37ELETRONORTE    201APARECIDA         4 28042025   3     43.00
37ELETRONORTE    201APARECIDA         4 26062025   4     43.00
37ELETRONORTE    201APARECIDA         4 26082025   4     43.00
37ELETRONORTE    201APARECIDA         4 28102025   4     43.00
37ELETRONORTE    201APARECIDA         4 17122025   3     43.00
37ELETRONORTE    140MAUA 3            1 28052025   3    189.55
37ELETRONORTE    140MAUA 3            1 25072025   1    189.55
37ELETRONORTE    140MAUA 3            1 07082025   4    189.55
37ELETRONORTE    140MAUA 3            1 12112025   3    189.55
37ELETRONORTE    140MAUA 3            2 23042025   3    189.55
37ELETRONORTE    140MAUA 3            2 21072025   4    189.55
37ELETRONORTE    140MAUA 3            2 06082025   1    189.55
37ELETRONORTE    140MAUA 3            2 21102025   3    189.55
37ELETRONORTE    140MAUA 3            3 23042025   3    211.65
37ELETRONORTE    140MAUA 3            3 28052025   3    211.65
37ELETRONORTE    140MAUA 3            3 21072025  11    211.65
37ELETRONORTE    140MAUA 3            3 01082025  10    211.65
37ELETRONORTE    140MAUA 3            3 21102025   3    211.65
37ELETRONORTE    140MAUA 3            3 12112025   3    211.65
