NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
   1 POTEF   640.00 12 2025          ANGRA 1
   1 TEIFT     0.00 12 2025  1 2026  
   1 GTMIN 00639.99 12 2025  1 2026
   1 IPTER     0.00  1 2026  1 2026  
   1 GTMIN   509.82  2 2026
  13 POTEF  1350.00 12 2025          ANGRA 2
  13 TEIFT     0.00 12 2025  1 2026  
  13 GTMIN  1349.99 12 2025 12 2025
  13 FCMAX    45.16  1 2026  1 2026  
  13 IPTER     0.00  1 2026  1 2026  
  13 GTMIN   609.65  1 2026  1 2026
  13 IPTER    96.43  2 2026  2 2026  
  13 GTMIN    46.98  2 2026  2 2026
  13 IPTER     0.00  3 2026 12 2026  
  13 GTMIN  1080.00  3 2026
 211 POTEF   530.00 12 2025          BAIXADA FLU
 211 TEIFT     0.00 12 2025  1 2026  
 211 IPTER     0.00  1 2026  7 2026  
 211 IPTER     4.53  8 2026  8 2026  
 211 IPTER    35.09  9 2026  9 2026  
 211 IPTER    19.25 10 2026 10 2026  
 211 IPTER     0.00 11 2026 12 2026  
  97 POTEF   249.90 12 2025          CUBATAO
  97 FCMAX    86.43 12 2025          
  97 TEIFT     0.00 12 2025  1 2026  
  97 GTMIN    33.87 12 2025 12 2025
  97 IPTER     0.00  1 2026  2 2026  
  97 TEIFT     8.65  2 2026          
  97 IPTER    16.09  3 2026  3 2026  
  97 IPTER     3.33  4 2026  4 2026  
  97 IPTER     0.00  5 2026  7 2026  
  97 IPTER    66.92  8 2026  8 2026  
  97 IPTER    31.69  9 2026  9 2026  
  97 IPTER     0.00 10 2026 12 2026  
  97 IPTER    11.35  1 2027          
  12 POTEF   529.20 12 2025          CUIABA G CC
  12 FCMAX    92.59 12 2025  1 2026  
  12 TEIFT     0.00 12 2025  1 2026  
  12 IPTER     0.00  1 2026  1 2026  
 153 POTEF    44.44 12 2025          DAIA
 153 FCMAX     0.00 12 2025          
  65 POTEF   161.41 12 2025          DO ATLAN_CSA
  65 FCMAX    68.29 12 2025 12 2025  
  65 TEIFT     0.00 12 2025  1 2026  
  65 GTMIN   110.22 12 2025 12 2025
  65 FCMAX    99.99  1 2026  1 2026  
  65 IPTER     0.00  1 2026  6 2026  
