modelo,deck,tipo,codigo,nome,potencia_efetiva,fcmax,teif,ip,arquivo_origem,tipo_combustivel
NEWAVE,NW202502,Usina Térmica Individual,98,PERNAMBU_III,,100.0,34.26,14.5,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,98,PERNAMBU_3,,,,,dadger..rv0,
DECOMP,DC202501-sem1,Usina Térmica Individual,106,ERB CANDEI,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,106,ERB CANDEIAS,,100.0,30.88,10.66,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,107,PAMPA SUL,,100.0,24.88,11.27,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,108,XAVANTES,,100.0,0.31,0.35,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,110,NPIRATINGA,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,110,N.PIRATINING,,97.0,4.19,15.22,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,116,PARNAIBA IV,,100.0,5.04,1.33,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,116,PARNAIB_IV,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,137,GNA I,,100.0,5.38,2.88,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,137,UTE GNA I,,,,,dadger..rv0,
DECOMP,DC202501-sem1,Usina Térmica Individual,140,UTE MAUA 3,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,140,MAUA 3,,97.0,9.76,8.38,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,144,PETROLINA,,100.0,4.34,2.8,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,146,UTE STA VI,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,146,STA VITORIA,,93.0,3.92,10.64,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,147,PROSPERIDADE,,100.0,3.12,2.59,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,147,PROSP_I,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,149,SAO SEPE,,90.0,13.24,2.53,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,151,POTIGUAR,,100.0,2.75,5.21,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,152,TERMOCABO,,100.0,0.69,1.84,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,153,DAIA,,100.0,0.0,0.0,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,156,CANDIOTA 3,,100.0,15.56,15.23,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,156,CANDIOTA_3,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,161,POTIGUAR III,,100.0,3.68,5.88,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,161,POTIGUAR_3,,,,,dadger..rv0,
DECOMP,DC202501-sem1,Usina Térmica Individual,162,PECEM 2,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,162,PECEM II,,100.0,3.0,1.0,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,163,P. PECEM II,,100.0,1.04,4.92,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,163,P.PECEM2,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,167,P. PECEM I,,100.0,2.76,3.58,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,167,P.PECEM1,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,170,SUAPE II,,100.0,5.67,7.59,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,176,PORTO ITAQUI,,100.0,2.04,4.55,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,176,P. ITAQUI,,,,,dadger..rv0,
DECOMP,DC202501-sem1,Usina Térmica Individual,182,PALMEIR_GO,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,182,PALMEIRAS GO,,80.0,63.73,8.53,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,183,ATLANTICO,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,183,DO_ATLANTICO,,93.0,1.37,6.11,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,194,TNORTE 2,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,194,T. NORTE 2,,94.0,0.24,1.4,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,201,APARECIDA,,100.0,12.81,11.9,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,203,C. ROCHA,,100.0,1.0,20.72,TERM.DAT,
NEWAVE,NW202508,Usina Térmica Individual,203,PORAQUE,,100.0,1.0,20.72,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,204,JARAQUI,,87.0,4.0,0.0,TERM.DAT,
NEWAVE,NW202508,Usina Térmica Individual,205,PIRARUCU,,100.0,2.5,0.39,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,205,MANAUARA,,100.0,2.5,0.39,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,207,PONTA NEGR,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,207,PONTA NEGRA,,100.0,2.5,0.53,TERM.DAT,
NEWAVE,NW202508,Usina Térmica Individual,207,TUCUNARE,,100.0,2.5,0.53,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,209,TAMBAQUI,,71.0,4.0,0.0,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,211,BAIXADA FLU,,100.0,7.78,5.23,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,211,BAIXADA FL,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,212,MARANHAO III,,100.0,4.1,1.83,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,212,MARANHAO3,,,,,dadger..rv0,
DECOMP,DC202501-sem1,Usina Térmica Individual,223,PROSP_III,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,223,PROSPERI III,,100.0,0.77,3.93,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,224,P. SERGIPE I,,100.0,13.3,1.64,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,229,O.PINTADA,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,229,ONCA PINTADA,,95.0,2.21,3.38,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,235,C.MURICY 2,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,235,CAMACARI MII,,100.0,3.0,1.0,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,236,MARLIM AZUL,,100.0,5.0,4.92,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,236,M.AZUL,,,,,dadger..rv0,
NEWAVE,NW202504,Usina Térmica Individual,237,CAMBARA,,100.0,2.0,2.0,TERM.DAT,
DECOMP,DC202506-sem2,Usina Térmica Individual,238,UTE GNA II,,,,,dadger..rv1,
NEWAVE,NW202502,Usina Térmica Individual,238,GNA II,,100.0,2.5,2.0,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,239,PARNAIBA V,,95.0,2.6,1.62,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,239,PARNAIBA_V,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,240,NT BARCARENA,,100.0,1.1,2.05,TERM.DAT,
DECOMP,DC202601-sem1,Usina Térmica Individual,240,BARCARENA,,,,,dadger..rv0,
DECOMP,DC202501-sem1,Usina Térmica Individual,241,PROSP_II,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,241,PROSPERID II,,100.0,1.83,3.73,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,245,KARKEY 013,,100.0,0.88,3.33,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,246,KARKEY 019,,100.0,0.76,2.29,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,247,LINHARES PCS,,100.0,1.87,1.19,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,247,LORM_PCS,,,,,dadger..rv0,
